variable,mean_train,std_train,train_n_obs,train_n_missing,invalid_for_standardization
GDP同比,6.715909090909091,1.0511835233756022,44,76,False
制造业PMI_去季节性,50.406330514485795,0.8028559024966012,120,0,False
服务业PMI,53.25210924369748,1.085972443356497,119,1,False
工业增加值,7.083888166666666,2.759439645026369,120,0,False
用电量,5.966938777999999,4.850504909776753,110,10,False
社零,9.627540159292037,4.079207187661141,113,7,False
固投当月同比_去季节性,-10.93905450738015,20.616274085616123,111,9,False
CPI,2.0651372916666664,0.8643799756233405,120,0,False
PPI,0.3687948083333334,4.378921616215853,120,0,False
失业率差分_去季节性,0.15086114652942686,0.08351682207967692,47,73,False
逆回购7天(19日),2.837286666666667,0.6829374262372472,120,0,False
银行间7天回购(20-19均值),3.0227411905272614,0.7735493670471019,120,0,False
