month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)_去季节性
2006-10,,54.35778908527686,,14.7,,14.348977,-3.3327078682498623,1.4,2.9,3.7561,2.738641503771497
2006-11,,55.05947292417431,,14.9,,14.1,8.777455545254297,1.9,2.78,3.7561,3.3969721654696596
2006-12,12.5,54.64258012301845,,14.7,,14.6,1.5961856715839673,2.8,3.1,3.7561,2.9699046933656033
2007-01,,55.1,,24.71,,12.748329,,2.2,3.3,3.7561,1.679232258064516
2007-02,,53.28373380876834,,12.6,,16.857995,23.4394892427419,2.7,2.6,3.7561,2.957417756018017
2007-03,13.6,54.78349189640322,,17.6,,15.338037,-5.747202973442473,3.3,2.7,3.7561,2.5068580195431602
2007-04,,58.243833898646606,,17.4,,15.5,-1.347747242779615,3.0,2.9,3.7561,2.8356186204552194
2007-05,,55.845432441060716,,18.1,,15.9,-7.301414308984693,3.4,2.8,3.7561,3.320744626405688
2007-06,14.9,54.62852212919141,,19.4,,15.9827,-13.778074648603052,4.4,2.49,3.7561,3.107659917327128
2007-07,,53.26873903089292,,18.0,,16.4,15.996824561169714,5.6,2.4,3.7561,2.8271339113616887
2007-08,,53.75826771149449,,17.5,,17.1,11.9318261838129,6.5,2.6,3.7561,2.9564707375195134
2007-09,14.2,55.56963684687524,,18.9,,17.010498,-4.21540640886802,6.2,2.7,3.7561,3.8076089747609307
2007-10,,52.85778908527686,,17.9,,18.1,11.222386080761446,6.5,3.2,3.7561,3.666118170438163
2007-11,,55.15947292417431,,17.3,,18.8,11.09857256172428,6.9,4.55,3.7561,4.477268939663207
2007-12,13.9,55.14258012301845,,17.4,,20.2,0.672910902814067,6.5,5.43,3.7561,3.539534693365602
2008-01,,53.0,,15.4,,21.2,,7.1,6.1,3.7561,2.474238709677419
2008-02,,53.583733808768336,,15.4,,19.1,24.27356652858985,8.7,6.62,3.7561,3.5110854979535016
2008-03,11.6,57.08349189640322,,17.8,,21.5,-5.271179621419414,8.3,7.95,3.7561,3.7182218126466076
2008-04,,58.84383389864661,,15.7,,22.0,-1.8273377997773714,8.5,8.12,3.7561,3.4399960398100577
2008-05,,53.44543244106071,,16.0,,21.6,-8.92429887981605,7.7,8.22,3.7561,3.583394626405688
2008-06,11.0,52.12852212919141,,16.0,,23.0,-12.73553875952723,7.1,8.84,3.7561,3.75116636894003
2008-07,,48.36873903089292,,14.7,,23.3,18.836849038043393,6.3,10.03,3.7561,3.1948372446950213
2008-08,,48.15826771149449,,12.8,,23.2,12.687774124631803,4.9,10.06,3.7561,4.0755933181646755
2008-09,9.5,50.66963684687524,,11.4,,23.2,0.02716116229490595,4.6,9.13,3.7561,3.571038007018995
2008-10,,44.25778908527686,,8.2,,22.0,4.896408706571446,4.0,6.59,3.7561,3.7797948371048298
2008-11,,38.55947292417431,,5.4,,20.8,8.830552947398838,2.4,1.99,3.7561,3.4230270041793367
2008-12,7.1,41.04258012301845,,5.7,,19.0,4.237598848643227,1.2,-1.14,3.7561,2.243041360032269
2009-01,,45.3,,-2.93,,18.5,,1.0,-3.35,3.7561,1.0609709677419354
2009-02,,49.18373380876834,,11.0,,11.6,26.529036643193386,-1.6,-4.47,3.7561,1.4633145302115662
2009-03,6.4,51.08349189640322,,8.3,,14.7,-2.267412447864153,-1.2,-6.0,3.7561,1.7948080195431604
2009-04,,53.143833898646605,,7.3,,14.8,6.7600969241661275,-1.5,-6.6,3.7561,1.5540218462616708
2009-05,,53.245432441060714,,8.9,,15.2,4.309222196935707,-1.4,-7.2,3.7561,1.4591574489863328
2009-06,8.2,53.32852212919141,,10.7,,15.0,-6.974525618452681,-1.7,-7.8,3.7561,1.277382497972289
2009-07,,53.26873903089292,,10.8,6.0,15.2,19.552270073853453,-1.701,-7.8634,3.7561,1.3860005780283549
2009-08,,53.75826771149449,,12.3,8.22,15.4,18.240848412291612,-1.2,-7.86,3.7561,2.472177189132417
2009-09,10.6,53.76963684687524,,13.9,10.24,15.522151,6.056197503838721,-0.8,-6.99,3.7561,1.9981380070189947
2009-10,,54.85778908527686,,16.1,15.87,16.214903,12.148325417620473,-0.5,-5.85,3.7561,2.131918170438163
2009-11,,54.959472924174314,,18.507000000000005,23.53499999999997,15.812804,9.28286506427799,0.6,-2.08,3.7561,2.0164947461148213
2009-12,11.9,55.55158012301846,,18.5,,17.5374,6.055664949863999,1.9,1.7,3.7561,1.7669780266989363
2010-01,,55.8,,29.2,,14.0,,1.5,4.32,3.7561,1.4445096774193549
2010-02,,52.18373380876834,,12.8,10.54,22.1,26.64748890352955,2.7,5.39,3.7561,2.483695175372857
2010-03,12.2,53.78349189640322,,18.1,21.036924,18.0,-6.293745686287561,2.4,5.91,3.7561,2.5076401624003033
2010-04,,55.34383389864661,,17.8,23.08,18.5,-1.8278173465726226,2.8,6.81,3.7561,2.2262444269068324
2010-05,,54.04543244106071,,16.5,20.8,18.65733,-8.946089531746843,3.1,7.13,3.7561,2.190937959739022
2010-06,10.7,52.22852212919141,,13.7,14.14,18.3,-17.36449193451407,2.9,6.41,3.7561,2.7228857237787407
2010-07,,51.16873903089292,,13.4,13.94,17.948076,11.954719786701421,3.3,4.84,3.7561,2.6049672446950214
2010-08,,51.45826771149449,,13.9,14.69,18.4,8.512440049166491,3.5,4.32,3.7561,2.5400997697775782
2010-09,9.9,53.26963684687524,,13.3,8.58,18.84,-5.8189997134680915,3.6,4.33,3.7561,2.735912200567382
2010-10,,54.35778908527686,,13.1,8.37,18.64,4.190385557134224,4.4,5.04,3.7561,2.8250315037714966
2010-11,,54.959472924174314,,13.3,3.925325,18.7,14.131215736499199,5.1,6.06,3.7561,2.4307108751470787
2010-12,9.9,53.74258012301845,,13.5,,18.8426,2.403566879523588,4.6,5.93,3.7561,3.1773780266989364
2011-01,,52.9,,13.3,,19.899985,,4.9,6.6,3.7561,3.980861290322581
2011-02,,52.38373380876834,,14.9,15.82,11.633507,34.04118478288431,4.944,7.23,3.7561,5.388653239888986
2011-03,10.1,52.08349189640322,,14.8,13.41,17.437599,-1.3372672655499294,5.383,7.31,3.7561,3.6767151624003036
2011-04,,52.543833898646604,,13.4,11.23,17.121601,9.979986938879179,5.344,6.82,3.7561,3.0197799107778005
2011-05,,52.14543244106071,,13.3,10.79,16.89981,-0.7797794209882554,5.515,6.79,3.7561,3.8388079597390212
2011-06,9.9,51.02852212919141,,15.1,13.0,17.686683,-30.422568846287824,6.355,7.12,3.7561,4.858066368940032
2011-07,,50.66873903089292,,14.0,11.81,17.2,17.264539001278205,6.3559600000000005,7.54,3.7561,5.525880544695025
2011-08,,50.65826771149449,,13.5,9.09,17.0,17.986489936048194,6.151,7.25,3.7561,4.983706221390482
2011-09,9.3,50.66963684687524,,13.8,12.17,17.7,-1.678698586085634,6.067,6.52,3.7561,4.642405748954478
2011-10,,50.05778908527686,,13.2,11.35,17.249736,14.645484836074083,5.495,5.0,3.7561,4.709621503771496
2011-11,,48.95747292417431,,12.4,9.91,17.3,6.393382348706828,4.225,2.72,3.7561,4.378414100953531
2011-12,8.7,50.14258012301845,,12.8,,18.1,-12.293026849275403,4.07,1.69,3.7561,3.9646980266989362
2012-01,,50.5,,2.8,,13.1,,4.5,0.73,3.7561,4.887661290322579
2012-02,,51.18373380876834,56.0,21.3,22.9,16.4,21.46658365894374,3.2,0.03,3.7561,4.612656465695436
2012-03,8.1,51.78349189640322,56.71,11.9,7.01,15.2,-11.437059737790754,3.6,-0.32,3.7561,4.394514916094884
2012-04,,52.9438338986466,55.0,9.3,3.74,14.078876,-7.9496611068387,3.4,-0.7,3.7561,4.1855670075519935
2012-05,,50.54543244106071,54.3,9.6,5.21,13.793596,-13.318913094321672,3.0,-1.4,3.3,4.036687959739022
2012-06,7.7,50.32852212919141,56.4,9.5,4.253966,13.7,-20.446930444971233,2.2,-2.08,3.3,2.8685115302303537
2012-07,,50.06873903089292,54.4,9.2,4.514594,13.1,10.246881358933393,1.8,-2.87,3.35,3.9142272446950215
2012-08,,48.95826771149449,55.1,8.9,3.58,13.2,3.9591724406848403,2.0,-3.48,3.35,4.230993318164675
2012-09,7.5,49.26963684687524,52.6,9.2,2.92,14.2,-5.9173209391495725,1.9,-3.55,3.35,3.9271251037931885
2012-10,,49.85778908527686,54.4,9.6,6.05,14.5,2.9072650057985676,1.7,-2.76,3.35,3.881441503771497
2012-11,,50.35947292417431,54.2,10.1,7.58,14.9,4.987397177148166,2.0,-2.2,3.35,3.8234947461148203
2012-12,8.1,50.44258012301845,54.7,10.3,,15.2,0.8016415815403697,2.5,-1.94,3.35,3.364084693365603
2013-01,,50.4,54.9,17.7,,,,2.0305,-1.64,3.35,3.473622580645161
2013-02,,50.28373380876834,53.6,2.2,-12.49,12.2999,,3.2198,-1.63,3.35,3.74336291730834
2013-03,7.9,49.58349189640322,53.9,8.9,1.94,12.60029,17.77080236614445,2.0696,-1.92,3.35,4.154579448114588
2013-04,,50.243833898646606,52.5,9.3,6.78,12.8,-2.6407636548030133,2.3861,-2.62,3.35,3.740083136584251
2013-05,,50.94543244106071,52.3,9.2,5.022142,12.892196,9.516518956506758,2.0981,-2.87,3.35,3.7923912930723542
2013-06,7.6,50.22852212919141,52.6,8.9,6.295814,13.31247,8.095747015584877,2.6684,-2.7,3.35,5.700311530230353
2013-07,,50.26873903089292,53.0,9.7,8.832639,13.212343,-13.697317092190197,2.6741,-2.27,3.35,5.517330578028354
2013-08,,50.75826771149449,52.5,10.4,13.67,13.370123,6.182848902820611,2.5666,-1.62,3.9,4.9390771891324174
2013-09,7.9,50.56963684687524,53.9,10.2,10.4,13.3,9.590471288640924,3.0519,-1.34,3.9,4.339492845728672
2013-10,,51.05778908527686,54.8,10.3,9.53,13.320159,-10.551791233515084,3.2058,-1.51,3.9,4.511141503771497
2013-11,,51.15947292417431,54.1,10.0,8.45,13.721251,-3.731265891963412,3.018,-1.42,4.1,5.089430229985789
2013-12,7.7,50.84258012301845,52.5,9.7,,13.6,16.24721608064827,2.4987,-1.36,4.1,5.070918026698936
2014-01,,50.5,51.5,8.5,,,,2.4861,-1.64,4.1,5.225654838709678
2014-02,,50.38373380876834,53.8,8.8,13.736301,11.8246,-21.54431346738464,1.9511,-2.0,4.1,5.4778500140825335
2014-03,7.6,48.983491896403216,52.8,8.8,7.2,12.2404,15.569321217260857,2.3848,-2.3019,4.1,3.810200876686018
2014-04,,50.043833898646604,53.4,8.7,4.61,11.93653,-7.638086322732065,1.8014,-2.0042,4.1,4.210631523681026
2014-05,,50.94543244106071,54.4,8.8,5.3,12.514318,6.004219045771308,2.4773,-1.4464,4.1,3.8731212930723546
2014-06,7.7,51.12852212919141,53.5,9.2,5.86,12.42793,5.808194037027995,2.3361,-1.1092,4.1,3.5212792721658372
2014-07,,51.66873903089292,53.2,9.0,2.98,12.22174,-17.14636684261808,2.2852,-0.8688,4.1,3.823263911361689
2014-08,,50.85826771149449,53.6,6.9,-1.49,11.901354,-0.8308089486717183,1.9909,-1.2038,4.1,4.536215898809836
2014-09,7.3,50.56963684687524,52.5,8.0,2.73,11.567603,-1.718385064929901,1.6275,-1.7996,4.1,3.8988863941157685
2014-10,,50.45778908527686,52.6,7.7,3.052641,11.520769,-15.758247794178533,1.6011,-2.2428,4.1,3.5248681704381637
2014-11,,50.05947292417431,52.6,7.2,3.282558,11.720801,-9.217244264077543,1.4393,-2.6928,4.1,3.722910875147078
2014-12,7.4,49.94258012301845,53.3,7.9,4.153247,11.889118,10.551831019843739,1.5056,-3.3152,4.1,4.006184693365603
2015-01,,49.8,52.9,9.6,,,,0.7638,-4.3202,4.1,4.546899999999999
2015-02,,50.083733808768336,53.2,3.6,-6.3,10.7142,-23.798693619759177,1.4311,-4.7976,3.85,4.915408078598663
2015-03,7.1,48.78349189640322,52.3,5.6,-2.1554971,10.244532,9.52552045798489,1.3758,-4.5603,3.65,5.609183019543161
2015-04,,49.743833898646606,52.4,5.9,1.287186,10.002445,-15.553108450186892,1.5091,-4.5725,3.35,4.130583136584252
2015-05,,50.345432441060716,52.0,6.1,1.578521,10.130209,-2.07912869882918,1.2308,-4.607,3.35,2.8457379597390218
2015-06,7.1,50.32852212919141,52.3,6.8,1.760122,10.631952,-0.9582831993206398,1.3909,-4.8135,3.35,2.4462728205529345
2015-07,,49.96873903089292,52.8,6.0,-1.317016,10.512323,-23.460100703704036,1.6473,-5.3692,2.5,2.8954305780283542
2015-08,,49.45826771149449,52.6,6.1,1.903499,10.792317,-7.301704801693749,1.9554,-5.9227,2.5,3.2846352536485455
2015-09,7.0,49.26963684687524,53.0,5.7,-0.15279,10.9,-8.993850037265883,1.5956,-5.945,2.35,2.9694218779867363
2015-10,,49.45778908527686,52.3,5.6,-0.242482,11.023401,-17.780658593237074,1.2674,-5.9,2.35,2.8704748371048296
2015-11,,49.35947292417431,52.8,6.2,0.581849,11.172228,-12.115318324176082,1.4856,-5.9,2.25,2.962668939663208
2015-12,6.9,49.54258012301845,53.7,5.9,-2.153065,11.1,3.122224128947739,1.6,-5.9,2.25,2.7092980266989355
2016-01,,49.4,52.7,5.865724,,,,1.8,-5.3,2.25,2.4532709677419353
2016-02,,49.18373380876834,52.2,4.906937,4.020384,10.2,-25.38320565812242,2.3,-4.9,2.25,2.958011304405115
2016-03,6.8,48.88349189640322,53.1,6.8,5.640467,10.5,6.16316664042926,2.301391,-4.3,2.25,3.235487329887988
2016-04,,49.743833898646606,52.5,6.0,1.885077,10.1,-18.561987384457893,2.327865,-3.4,2.25,3.080089588197155
2016-05,,50.245432441060714,52.0,6.0,2.053089,10.0,-4.662258310045253,2.038999,-2.8,2.25,3.0116012930723537
2016-06,6.7,50.12852212919141,52.2,6.2,2.640878,10.6,-4.344123864073943,1.879503,-2.6,2.25,2.725579272165837
2016-07,,49.86873903089292,52.6,6.0,8.168144,10.2,-29.442928063806825,1.765113,-1.7,2.25,2.5976472446950214
2016-08,,50.15826771149449,52.7,6.3,8.279983,10.6,-8.961552529186358,1.339773,-0.8,2.25,3.305180414938868
2016-09,6.7,49.86963684687524,52.3,6.1,6.871408,10.7,-9.08273639010913,1.920226,0.1,2.25,3.001250910244801
2016-10,,50.85778908527686,52.6,6.1,6.986335,10.0,-15.954073412292534,2.095947,1.2,2.25,2.9896381704381634
2016-11,,51.459472924174314,53.7,6.2,6.966866,10.8,-12.659897419700233,2.252258,3.3,2.25,3.3007108751470784
2016-12,6.8,51.24258012301845,53.2,6.0,6.879046,10.9,-1.5636879825515138,2.076545,5.5,2.25,3.219828026698936
2017-01,,51.3,53.5,2.93725,,,,2.549055,6.9,2.25,2.778103225806452
2017-02,,51.78373380876834,53.2,10.322581,17.212391,9.5,-23.94873300017415,0.8,7.8,2.35,3.2894435624696303
2017-03,7.0,50.483491896403216,54.2,7.6,7.892457,10.9,5.284310987100014,0.9,7.5406,2.45,4.000486590971732
2017-04,,50.84383389864661,52.6,6.5,6.023428,10.7,-21.52014186260576,1.2,6.4,2.45,3.8916605559390898
2017-05,,51.345432441060716,53.5,6.5,5.054293,10.7,-7.317043233097319,1.5,5.5,2.45,4.047521293072355
2017-06,7.0,51.82852212919141,53.8,7.6,6.513623,11.0,-2.6351958682524455,1.5,5.5,2.45,3.5738179818432565
2017-07,,51.36873903089292,53.1,6.4,9.936585,10.4,-30.033261626643647,1.4,5.5,2.45,3.430433911361688
2017-08,,51.45826771149449,52.6,6.0,6.430298,10.1,-9.019086827792139,1.8,6.3,2.45,4.248080414938869
2017-09,6.9,51.86963684687524,54.4,6.6,7.199605,10.3,-11.2766305157819,1.6,6.9,2.45,4.02592832959964
2017-10,,51.25778908527686,53.5,6.2,4.96278,10.0,-21.524810056981355,1.9,6.9,2.45,3.813528170438163
2017-11,,51.55947292417431,53.6,6.1,4.641953,10.2,-15.468941041263452,1.7,5.8,2.45,3.901181842889014
2017-12,6.8,51.44258012301845,53.4,6.2,7.37,9.4,-13.400509804807342,1.8,4.9,2.5,3.739801360032269
2018-01,,51.3,54.4,15.434501,,,,1.5,4.3,2.5,3.7107645161290326
2018-02,,50.483733808768335,53.8,-2.119883,2.03,9.7,-22.99591812450316,2.9,3.7,2.5,3.6021016269857613
2018-03,6.9,50.18349189640322,53.6,6.0,3.64,10.1,3.089131057926423,2.1,3.1,2.5,3.962547305257446
2018-04,,51.043833898646604,53.8,7.0,7.82,9.4,-24.913216019149914,1.8,3.4,2.55,3.8374508785197348
2018-05,,52.04543244106071,54.0,6.8,11.4,8.5,-12.331706243620783,1.8,4.1,2.55,3.9846379597390214
2018-06,6.9,51.62852212919141,54.0,6.0,7.98,9.0,-5.38537609702724,1.9,4.7,2.55,3.5176695947464838
2018-07,,51.16873903089292,53.0,6.0,6.82,8.8,-34.32913672232094,2.1,4.6,2.55,3.1951005780283555
2018-08,,51.05826771149449,53.4,6.1,8.82,9.0,-10.907238218996508,2.3,4.1,2.55,3.3754417052614505
2018-09,6.7,50.26963684687524,53.4,5.8,8.0,9.2,-8.652792797384691,2.5,3.6,2.55,3.182479942502866
2018-10,,49.85778908527686,52.1,5.9,6.73,8.6,-19.813859005329803,2.5,3.3,2.55,3.252171503771497
2018-11,,49.75947292417431,52.4,5.598,6.32,8.16020586,-10.998650367166261,2.2,2.7,2.55,3.211927004179337
2018-12,6.5,49.24258012301845,52.3,5.7,8.78,8.160814,-42.27189431803643,1.9,0.9,2.55,3.050831360032269
2019-01,,49.5,53.6,6.797753,,,,1.7,0.1,2.55,2.9213161290322582
2019-02,,49.38373380876834,53.5,3.360717,7.18,8.2,-20.79914466537479,1.5,0.1,2.55,3.0114467882760816
2019-03,6.4,49.18349189640322,53.6,8.5,7.5,8.7,-4.802418900866549,2.3,0.4,2.55,3.467579448114588
2019-04,,49.743833898646606,53.3,5.4,5.84,7.2,-31.22302240889743,2.5,0.9,2.55,3.4161605559390904
2019-05,,49.54543244106071,53.5,5.0,2.35,8.6,-19.03572605508341,2.7,0.6,2.55,3.1309612930723554
2019-06,6.1,49.52852212919141,53.4,6.3,5.51,9.8,-10.032530591697409,2.7,0.0,2.55,2.9361954011980957
2019-07,,49.66873903089292,52.9,4.8,2.69,7.6,-49.126724039870794,2.8,-0.3,2.55,2.601527244695021
2019-08,,49.25826771149449,52.5,4.4,3.59,7.5,-26.94088610111858,2.8,-0.8,2.55,3.598915898809836
2019-09,6.0,49.26963684687524,53.0,5.8,4.41,7.8,-26.94834490095415,3.0,-1.2,2.55,3.2966863941157705
2019-10,,48.95778908527686,51.4,4.7,5.03,7.2,-46.74910697361368,3.8,-1.6,2.55,3.1917081704381634
2019-11,,49.959472924174314,53.5,6.2,4.71,8.0,-79.36126652463356,4.5,-1.4,2.5,3.3592205525664336
2019-12,5.9,50.04258012301845,53.0,6.9,13.77,8.0,-89.25021435841052,4.5,-0.5,2.5,2.8888213600322694
2020-01,,50.0,53.1,-4.313519,,,,5.4,0.1,2.5,2.6516322580645157
2020-02,,35.88373380876834,30.1,-25.867052,-10.09,-20.5,26.37187606659334,5.2,-0.4,2.4,2.996666143114792
2020-03,-6.8,50.68349189640322,51.8,-1.1,-4.17,-15.8,-19.261924997351564,4.3,-1.5,2.4,3.0208045712672984
2020-04,,50.4438338986466,52.1,3.9,0.69,-7.5,-34.81173435717369,3.3,-3.1,2.2,2.2980347494874778
2020-05,,50.745432441060714,52.3,4.4,4.61,-2.8,-18.5940840917552,2.4,-3.7,2.2,2.0690279597390213
2020-06,3.2,51.02852212919141,53.4,4.8,6.07,-1.8,-8.897727451999344,2.5,-3.0,2.2,2.209763143133579
2020-07,,51.06873903089292,53.1,4.8,2.29,-1.1,-52.005675690037236,2.7,-2.4,2.2,2.421300578028355
2020-08,,50.75826771149449,54.3,5.6,7.73,0.5,-15.751149903423139,2.4,-2.0,2.2,3.081851382680804
2020-09,4.9,50.96963684687524,55.2,6.9,7.22,3.3,-17.47683768017705,1.7,-2.1,2.2,2.923838007018995
2020-10,,51.05778908527686,55.5,6.9,6.59,4.3,-42.302624633597674,0.5,-2.1,2.2,2.869221503771497
2020-11,,51.85947292417431,55.7,7.0,9.38,5.0,-82.22787294907877,-0.5,-1.5,2.2,3.32087216546966
2020-12,6.5,51.74258012301845,54.8,7.3,17.25,4.6,-33.3205821650304,0.2,-0.4,2.2,2.6954980266989357
2021-01,,51.3,51.1,25.398571,26.16,,,-0.3,0.3,2.2,2.271487096774193
2021-02,,50.78373380876834,50.8,52.339181,18.53,33.8,154.7072072072072,-0.2,1.7,2.2,3.304595175372857
2021-03,18.9,50.58349189640322,55.2,14.1,20.73,34.2,19.74127188232972,0.4,4.4,2.2,3.0040901624003036
2021-04,,50.743833898646606,54.4,9.8,14.17,17.7,-33.121942993400154,0.9,6.8,2.2,2.771915394648768
2021-05,,51.14543244106071,54.3,8.8,13.47,12.4,-39.230927963405165,1.3,9.0,2.2,2.671394626405688
2021-06,8.1,51.02852212919141,52.3,8.3,10.75,12.1,-42.8488548832588,1.1,8.8,2.2,2.574847014101322
2021-07,,50.36873903089292,52.5,6.4,13.68,8.5,-53.80457688304996,1.0,9.0,2.2,2.496503911361689
2021-08,,49.85826771149449,45.2,5.3,4.3,2.5,-22.191959761150287,0.8,9.5,2.2,3.038896543971126
2021-09,5.5,49.06963684687524,52.4,3.1,7.63,4.4,-26.38904299351966,0.7,10.7,2.2,2.80520897476093
2021-10,,48.85778908527686,51.6,3.5,6.11,4.9,-36.310470994610704,1.5,13.5,2.2,2.78999483710483
2021-11,,49.85947292417431,51.1,3.8,3.1,3.9,-11.774764030522322,2.3,12.9,2.2,2.8213915203083695
2021-12,4.5,50.14258012301845,52.0,4.3,-2.18,1.7,192.175573468583,1.5,10.3,2.2,2.63760136003227
2022-01,,50.1,50.3,3.857957,-1.27,,,0.9,9.1,2.1,2.4648774193548393
