n_obs,mean_error_raw,mae_raw,rmse_raw,corr_raw,summary_type,calendar_year
12.0,-0.043104736681315536,0.19150394342177682,0.2256516540160236,0.9485094839748525,smoother_monthly_by_year,2005
24.0,-0.16657060966862577,0.346937701639306,0.43578975564924965,0.7178596936813457,smoother_monthly_by_year,2006
36.0,-1.0253783471434887,1.0253783471434887,1.2453624445343365,0.2617855563708212,smoother_monthly_by_year,2007
48.0,-0.15478139258391138,0.5709168077682248,0.7303259341269572,0.9762368105776212,smoother_monthly_by_year,2008
60.0,0.5248688413830122,0.6849119672137874,0.8917456557267648,0.9409328376159749,smoother_monthly_by_year,2009
72.0,0.08031973116267836,0.4024336685411072,0.5517223543873401,0.814391525897344,smoother_monthly_by_year,2010
84.0,0.008372088074027376,0.25435028230949513,0.31265834798674075,0.8356702461161323,smoother_monthly_by_year,2011
96.0,0.28522784442679694,0.36384978366469367,0.514191642930129,0.4595219049137495,smoother_monthly_by_year,2012
108.0,0.19800668142926292,0.26572940090574027,0.37812167566207183,0.12681534594386665,smoother_monthly_by_year,2013
120.0,0.0010374626865442475,0.20230561567408334,0.2768377758963839,0.36146967759734633,smoother_monthly_by_year,2014
120.0,-0.2149907398674404,0.24228345724139794,0.2929712494817384,0.38757855011169495,smoother_monthly_by_year,2015
108.0,-0.008478609903368576,0.13904031130980535,0.19384014787259723,0.26870124450383975,smoother_monthly_by_year,2016
96.0,0.08973521234196853,0.13997266856140908,0.17074195588968402,0.4234956050258187,smoother_monthly_by_year,2017
84.0,-0.13435222061836408,0.1807278360329732,0.22203715241035363,0.7077102851820404,smoother_monthly_by_year,2018
72.0,-0.005139362719394216,0.14295096125504975,0.18191465730044526,0.593548281442696,smoother_monthly_by_year,2019
60.0,-0.27538346057405766,0.4434857681008963,0.5793329184007717,0.9249044757226828,smoother_monthly_by_year,2020
48.0,-0.005249335115581548,0.24227972067436832,0.32410561345652855,0.9802447058113386,smoother_monthly_by_year,2021
36.0,-0.00919042110206341,0.34671269650206155,0.4249470049312023,0.8456867124161057,smoother_monthly_by_year,2022
24.0,0.412855068691937,0.4769659420365436,0.529514680243108,0.5471549789249524,smoother_monthly_by_year,2023
12.0,-0.1129378990191839,0.18756144167418917,0.28356273345616284,0.6774180335669127,smoother_monthly_by_year,2024
