month,中债-新综合财富(3-5年)指数,中债-新综合净价(3-5年)指数,中债-新综合全价(3-5年)指数,中债-综合财富(3-5年)指数,中债-综合净价(3-5年)指数,中债-综合全价(3-5年)指数,中债-新综合财富(5-7年)指数,中债-新综合净价(5-7年)指数,中债-新综合全价(5-7年)指数,中债-综合财富(5-7年)指数,中债-综合净价(5-7年)指数,中债-综合全价(5-7年)指数
2002-01,,,,,,,,,,,,
2002-02,-0.0016035901330989644,-0.0016035901330989644,-0.0023828348700388746,-0.0023828348700388746,0.0016575811798649198,0.0016645166659732258,0.008804295878960255,0.008816169507926963,0.005814576634512347,0.005814576634512347,0.007081630209678336,0.007081630209678336
2002-03,0.008891168079820266,0.008891168079820266,0.011900919359179696,0.011900919359179696,0.011900393184796965,0.011901299924232056,0.01039781627222447,0.010397693891342596,0.007618162425419239,0.007618162425419239,0.010397917076046426,0.010397917076046426
2002-04,0.0026668403764764648,0.0026668403764764648,0.0060664651381909795,0.0060664651381909795,0.006066435582978036,0.006066388143270762,0.012499247676533987,0.012501043533297063,0.009476900178218228,0.009476900178218228,0.011322629798431239,0.011322629798431239
2002-05,0.005311619610862017,0.005311619610862017,0.008311700474410655,0.008311700474410655,0.008311212850219407,0.008311148248187905,0.011278808227662473,0.011278656838908052,0.008395592968460486,0.008395592968460486,0.010475689573443692,0.010475689573443692
2002-06,-0.003456440043004827,-0.003456440043004827,-0.015167654978177736,-0.015167654978177736,-0.0005935827537228988,-0.0006176682013617762,-0.002228896587162077,-0.0022933344457127802,-0.00505890512556828,-0.00505890512556828,-0.00488808874493063,-0.00488808874493063
2002-07,-0.009207547614743072,-0.009207547614743072,-0.008377017872019388,-0.008377017872019388,-0.005820758810201054,-0.005801570290406399,-0.0031821563598943836,-0.0031775684949405525,-0.006345391155706204,-0.006345391155706204,-0.003879382473453097,-0.003879382473453097
2002-08,-0.0029800244153747046,-0.0029800244153747046,-0.0028423473092809015,-0.0028423473092809015,6.78878066711075e-05,6.497814019001957e-05,-0.012893177082439644,-0.012915704272410844,-0.0159740243312696,-0.0159740243312696,-0.015383094243410889,-0.015383094243410889
2002-09,-0.0022668136100323366,-0.0022668136100323366,0.0006199652660485722,0.0006199652660485722,0.0006196766238386608,0.000620646383813428,0.0028245696031889977,0.0030101865407867745,0.0004479320962629263,0.0006061421081879903,-0.008926560612574908,-0.00992685017007855
2002-10,-0.009495592151108068,-0.009495592151108068,-0.006910712796336482,-0.006910712796336482,-0.005805264861574844,-0.005805259235353355,-0.002989943966235309,-0.0028413221246658127,-0.0059440562896397875,-0.005805754762942428,-0.00297871126470306,-0.0028409062934198204
2002-11,-0.0008293309392777282,-0.0008293309392777282,-0.0009318397235674736,-0.0009318397235674736,0.002123154668600691,0.0021173036936812384,-0.0019162120814080197,-0.0019311543475112325,-0.004425539869132855,-0.004425218577170931,-0.003649660243172592,-0.0036488925931924543
2002-12,0.007697824624174565,0.007697824624174565,0.008126175893679255,0.008126175893679255,0.01073335862491609,0.010745083924689203,0.009644936287488193,0.009615440429545874,0.0070628042288940485,0.007061701277955246,0.004872155433641723,0.004872435553714194
2003-01,0.0006267555653294288,0.0006267555653294288,0.0033979907878016746,0.0033979907878016746,0.0033973537213054517,0.0033982932502831797,0.0008319284158186946,0.0008327032960293579,-0.0013913488447738764,-0.0013909364085288312,0.0008327256242977032,0.0008314782064926529
2003-02,-0.004877040050268788,-0.004877040050268788,-0.005398784902397424,-0.005398784902397424,-0.0019451856654780775,-0.0020784935861160037,-0.0005391548006324909,-0.000539035557198142,-0.002863041736058003,-0.002863184647611927,-0.0005395904823328745,-0.000539075588843918
2003-03,0.004714220462086027,0.004714220462086027,0.007567694459309715,0.007567694459309715,0.007567181076088891,0.00756717271473395,0.004587683392356157,0.0045885841008914685,0.0022647417357841704,0.002265065423054491,0.0038934541302435566,0.003893889777972337
2003-04,4.9958484499290634e-05,4.9958484499290634e-05,0.0007966955398870379,0.0007966955398870379,0.0028576333911982665,0.002875164077047465,0.008098606326279123,0.008125414209223969,0.005706694012691305,0.00570698576780071,0.0062895674045548855,0.006289153739016395
2003-05,0.00019582747599367067,0.00019582747599367067,0.002502611613814487,0.002502611613814487,0.0030996294520913015,0.003097111962119259,-0.00039642629734992774,-0.0003934900104615169,-0.003024389761931867,-0.0030244783219380844,-0.0009118410607393823,-0.0009116597771606783
2003-06,-0.0022965266408078167,-0.0022965266408078167,-0.0013677359934978206,-0.0013677359934978206,0.00036883400099552155,0.00038499541988201713,-0.00428764514577995,-0.00424209161706679,-0.006974918834064758,-0.006974827214507595,-0.007206702438252943,-0.00720712095203957
2003-07,-0.0016460114259625458,-0.0016460114259625458,-0.0007252031751286969,-0.0007252031751286969,0.0008340726249780328,0.0008332037870486531,0.005024743487130223,0.005028950676941202,0.002486013057806158,0.0024852739288678816,0.00392594486176101,0.003925431561296433
