month,中债-新综合财富(3-5年)指数,中债-新综合净价(3-5年)指数,中债-新综合全价(3-5年)指数,中债-综合财富(3-5年)指数,中债-综合净价(3-5年)指数,中债-综合全价(3-5年)指数,中债-新综合财富(5-7年)指数,中债-新综合净价(5-7年)指数,中债-新综合全价(5-7年)指数,中债-综合财富(5-7年)指数,中债-综合净价(5-7年)指数,中债-综合全价(5-7年)指数
2002-01,,,,,,,,,,,,
2002-02,0.0022905105992254704,0.0022905105992254704,0.002562920494701526,0.002562920494701526,0.006623367183665074,0.0066303370529203765,0.012631813138952896,0.01264373181780698,0.008694587678885535,0.008694587678885535,0.010902611481859337,0.010902611481859337
2002-03,0.011026469514056947,0.011026469514056947,0.010229405599848418,0.010229405599848418,0.014320374632025956,0.014328306709645355,0.014812246208770308,0.014812071108974534,0.0117851039060759,0.0117851039060759,0.014812921612201713,0.014812921612201713
2002-04,0.006832561606038512,0.006832561606038512,0.011144616641167726,0.011144616641167726,0.011144863577595476,0.011144775984501143,0.01844993228352454,0.018452663420997828,0.014601471170066382,0.014601471170066382,0.017267670409918834,0.017267670409918834
2002-05,0.00357295169440075,0.00357295169440075,0.007472353947451715,0.007472353947451715,0.007471336899433911,0.0074712788740269875,0.010828159155443995,0.01082995126953179,0.007092397833045272,0.007092397833045272,0.008851868242422789,0.008851868242422789
2002-06,-0.0008442861462460982,-0.0008442861462460982,-0.011567114902079512,-0.011567114902079512,0.003059032657083627,0.0030358009814370757,0.003560609022434491,0.003500504431175333,-0.0002532487366561087,-0.0002532487366561087,0.0008900756564307333,0.0008900756564307333
2002-07,-0.010272396149765384,-0.010272396149765384,-0.01086272688252965,-0.01086272688252965,-0.006065133674890699,-0.006051702631787004,-0.0007534244618159214,-0.0008105657386910936,-0.0046593746307656,-0.0046593746307656,-0.00331040922781356,-0.00331040922781356
2002-08,-0.001618659670349465,-0.001618659670349465,-0.0005957653002458541,-0.0005957653002458541,0.0023153165675384724,0.00231823934338915,-0.008555355139149068,-0.008573980864368336,-0.012397351976398574,-0.012397351976398574,-0.011748757342973315,-0.011748757342973315
2002-09,-0.00401433762932657,-0.00401433762932657,-0.0001082164050113521,-0.0001082164050113521,-0.00010659617106567598,-0.00010853396774024304,-0.00561500270504478,-0.0054496252006143164,-0.00911297146528367,-0.00895627340677252,-0.01851270757279233,-0.019503321840534382
2002-10,-0.01001570309199451,-0.01001570309199451,-0.006704584163833793,-0.006704584163833793,-0.005599025986614992,-0.005598056626160308,-0.0004595251059031913,-0.00021431219301226712,-0.00397221528990932,-0.003768846709141349,-0.0004260560914679523,-0.0002142462924038524
