month,month_end_date,中债-新综合财富(3-5年)指数__natural_month_return,中债-新综合净价(3-5年)指数__natural_month_return,中债-新综合全价(3-5年)指数__natural_month_return,中债-综合财富(3-5年)指数__natural_month_return,中债-综合净价(3-5年)指数__natural_month_return,中债-综合全价(3-5年)指数__natural_month_return,中债-新综合财富(5-7年)指数__natural_month_return,中债-新综合净价(5-7年)指数__natural_month_return,中债-新综合全价(5-7年)指数__natural_month_return,中债-综合财富(5-7年)指数__natural_month_return,中债-综合净价(5-7年)指数__natural_month_return,中债-综合全价(5-7年)指数__natural_month_return,roll20_start_date,roll20_end_date,中债-新综合财富(3-5年)指数__roll20_return,中债-新综合净价(3-5年)指数__roll20_return,中债-新综合全价(3-5年)指数__roll20_return,中债-综合财富(3-5年)指数__roll20_return,中债-综合净价(3-5年)指数__roll20_return,中债-综合全价(3-5年)指数__roll20_return,中债-新综合财富(5-7年)指数__roll20_return,中债-新综合净价(5-7年)指数__roll20_return,中债-新综合全价(5-7年)指数__roll20_return,中债-综合财富(5-7年)指数__roll20_return,中债-综合净价(5-7年)指数__roll20_return,中债-综合全价(5-7年)指数__roll20_return
2002-01,2002-01-31,,,,,,,,,,,,,2002-01-21,2002-02-08,0.0035380653918319904,0.0035380653918319904,0.0055121708852630125,0.0055121708852630125,0.0055121708852630125,0.0055121708852630125,0.006879064145336455,0.006879064145336455,0.005181321366332092,0.005181321366332092,0.006879064145336455,0.006879064145336455
2002-02,2002-02-28,-0.0016035901330989644,-0.0016035901330989644,-0.0023828348700388746,-0.0023828348700388746,0.0016575811798649198,0.0016645166659732258,0.008804295878960255,0.008816169507926963,0.005814576634512347,0.005814576634512347,0.007081630209678336,0.007081630209678336,2002-02-25,2002-03-19,0.007772413669229872,0.007772413669229872,0.005955007272723689,0.005955007272723689,0.010029120639960087,0.010036061207876923,0.011730794616522822,0.011730655943447132,0.009672801129467556,0.009672801129467556,0.01173113131209469,0.01173113131209469
2002-03,2002-03-29,0.008891168079820266,0.008891168079820266,0.011900919359179696,0.011900919359179696,0.011900393184796965,0.011901299924232056,0.01039781627222447,0.010397693891342596,0.007618162425419239,0.007618162425419239,0.010397917076046426,0.010397917076046426,2002-03-20,2002-04-19,0.006168532555263173,0.006168532555263173,0.009302963315883428,0.009302963315883428,0.009302777963350772,0.009302704848134669,0.0174314999272549,0.01743228913403927,0.014717605815393275,0.014717605815393275,0.01743199399827655,0.01743199399827655
2002-04,2002-04-30,0.0026668403764764648,0.0026668403764764648,0.0060664651381909795,0.0060664651381909795,0.006066435582978036,0.006066388143270762,0.012499247676533987,0.012501043533297063,0.009476900178218228,0.009476900178218228,0.011322629798431239,0.011322629798431239,2002-04-22,2002-05-17,-0.002998095604954898,-0.002998095604954898,-0.00036552735850425844,-0.00036552735850425844,-0.0003659945440601664,-0.00036599170159934413,0.003888899004583779,0.0038850210111212036,0.0014221609095630416,0.0014221609095630416,0.001920896687245044,0.001920896687245044
2002-05,2002-05-31,0.005311619610862017,0.005311619610862017,0.008311700474410655,0.008311700474410655,0.008311212850219407,0.008311148248187905,0.011278808227662473,0.011278656838908052,0.008395592968460486,0.008395592968460486,0.010475689573443692,0.010475689573443692,2002-05-20,2002-06-19,0.0007794920931620819,0.0007794920931620819,-0.008645233711653266,-0.008645233711653266,0.00374279367148711,0.0037311628500746874,0.001282543956929505,0.0012844400623244212,-0.0016828475210622917,-0.0016828475210622917,0.0004794923697546416,0.0004794923697546416
2002-06,2002-06-28,-0.003456440043004827,-0.003456440043004827,-0.015167654978177736,-0.015167654978177736,-0.0005935827537228988,-0.0006176682013617762,-0.002228896587162077,-0.0022933344457127802,-0.00505890512556828,-0.00505890512556828,-0.00488808874493063,-0.00488808874493063,2002-06-20,2002-07-19,-0.008608750872309612,-0.008608750872309612,-0.010409010820589093,-0.010409010820589093,-0.0056120801422780975,-0.005596716387409217,-0.0057025945042877835,-0.005764446357883313,-0.008571079917330193,-0.008571079917330193,-0.007552708220913362,-0.007552708220913362
2002-07,2002-07-31,-0.009207547614743072,-0.009207547614743072,-0.008377017872019388,-0.008377017872019388,-0.005820758810201054,-0.005801570290406399,-0.0031821563598943836,-0.0031775684949405525,-0.006345391155706204,-0.006345391155706204,-0.003879382473453097,-0.003879382473453097,2002-07-22,2002-08-19,-8.639471860139025e-05,-8.639471860139025e-05,-0.00018369430090914296,-0.00018369430090914296,0.002727446804581257,0.0027323147984346097,-0.002957418534560441,-0.002953738801404371,-0.00564643474813209,-0.00564643474813209,-0.0036554687025782684,-0.0036554687025782684
2002-08,2002-08-30,-0.0029800244153747046,-0.0029800244153747046,-0.0028423473092809015,-0.0028423473092809015,6.78878066711075e-05,6.497814019001957e-05,-0.012893177082439644,-0.012915704272410844,-0.0159740243312696,-0.0159740243312696,-0.015383094243410889,-0.015383094243410889,2002-08-20,2002-09-19,-0.003826677522489441,-0.003826677522489441,-0.0007515579687483731,-0.0007515579687483731,-0.0007500494218611875,-0.0007529544011978251,-0.007235156964413125,-0.007074649619072004,-0.010077643887992371,-0.009902337935032923,-0.020124145402091953,-0.0211051045600118
2002-09,2002-09-27,-0.0022668136100323366,-0.0022668136100323366,0.0006199652660485722,0.0006199652660485722,0.0006196766238386608,0.000620646383813428,0.0028245696031889977,0.0030101865407867745,0.0004479320962629263,0.0006061421081879903,-0.008926560612574908,-0.00992685017007855,2002-09-20,2002-10-18,-0.005750161415031818,-0.005750161415031818,-0.0027459895145904856,-0.0027459895145904856,-0.002745228807841671,-0.002745228807841671,-0.0006844607144649295,-0.0004373127181735992,-0.0030898308911785355,-0.002886544444862582,-0.0006499327876791083,-0.0004373783757367633
2002-10,2002-10-31,-0.009495592151108068,-0.009495592151108068,-0.006910712796336482,-0.006910712796336482,-0.005805264861574844,-0.005805259235353355,-0.002989943966235309,-0.0028413221246658127,-0.0059440562896397875,-0.005805754762942428,-0.00297871126470306,-0.0028409062934198204,2002-10-21,2002-11-19,-0.002695309760227582,-0.002695309760227582,-0.0010492959851723382,-0.0010492959851723382,0.0003283861665870358,0.0003293574033034208,-0.005452496415497388,-0.005457797087245586,-0.007992044675261711,-0.007992642324295307,-0.006446347464042379,-0.006446050092537514
