month,中债-新综合净价(3-5年)指数,中债-综合净价(3-5年)指数,中债-新综合净价(5-7年)指数,中债-综合净价(5-7年)指数
2002-01,0.002212663180166885,0.002281138637669322,-0.0004032486345663111,-0.0004032486345663111
2002-02,0.004779799906998505,0.004770153178333958,0.002897200128457955,0.002897257867791936
2002-03,0.001039651454124435,0.0011268651730873547,0.004156682621610175,0.004156995538810104
2002-04,-0.0023377480970788733,-0.0021746094925587656,-0.0003047451113805666,-0.00030526993830282123
2002-05,0.0011260421043537416,0.0012002085132598594,-0.00032420907289543166,-0.0003244469328280708
2002-06,0.001548809585737665,0.0016097859563044548,-0.00010477347973680828,-0.00010428745833279685
2002-07,0.00472688345451755,0.004758937831514487,0.0036890617834071104,0.003689190738580095
2002-08,-0.0029151855749944833,-0.002770531391603326,-0.005451540373765162,-0.005451275005527667
2002-09,-0.001291320255394468,-0.0009625749315631538,0.002645114454295605,0.0024419325983209283
2002-10,0.00249491498251575,0.0025571372498727207,-0.002159775128728003,-0.002158639288417752
2002-11,-0.0009259901609774968,-0.0008085708510207068,9.199507293744524e-05,9.310701066067573e-05
2002-12,-0.0024733095370975677,-0.002139848585397508,-0.001626132381651768,-0.0016257160892296785
2003-01,0.00015039011195039365,0.00024374265400095574,0.00202035570971959,0.002021344446601292
2003-02,0.002577360991184552,0.002624106380195279,0.005406558117363902,0.00540645142083096
2003-03,0.0005754828300945647,0.0006589379335935064,-0.0011718254637957948,-0.001171631216808633
2003-04,-3.69992600147695e-05,5.7161802197391864e-05,0.0004222418761232749,0.0004218236483537474
2003-05,0.0008331843125579663,0.0009083031435639377,-0.001932102036181993,-0.0019325538699391798
2003-06,2.602558314834802e-05,0.00026174088032182574,-0.0017686875050327844,-0.0026840565864124644
2003-07,0.0010740244528593124,0.0011363173272755933,3.3141083486176726e-05,3.3333660133916254e-05
2003-08,-0.004751235051156821,-0.004596738917296395,-0.0045014000789255215,-0.004502163993843178
2003-09,-0.003425492761013671,-0.003293637859021703,-0.009080621488557261,-0.010205844678125686
2003-10,0.00699328595451143,0.006985528264389362,0.009681671313091389,0.009683109349476027
2003-11,-0.00013362656373694382,-4.3882410403539573e-05,-0.0013923800597231972,-0.001392365854030131
2003-12,0.002272095106029326,0.002328938028963945,-0.0007800588250495011,-0.0007799068551089805
2004-01,-0.0008897557956289992,-0.000787205637603372,0.0004376756555817263,0.0004374431096649811
2004-02,-0.0005840829744401255,-0.0003044453752193421,0.00013832300998495306,0.00013854911768484968
2004-03,0.001834678183515015,0.001892141312731077,-0.008019929175890006,-0.008018830247703224
2004-04,-0.002049600750558045,-0.0019151932643013403,-0.007074042289100024,-0.00707423050106637
2004-05,-0.003912808532753553,-0.0037435177285017884,0.0010496820422956077,0.0010484084004755978
2004-06,0.0021926466651458476,0.0022408444746999656,0.0005675441218995214,0.0005665864525206121
2004-07,0.0008961405448826287,0.0009726207265476905,-0.0004252213681035233,-0.00042585854640975196
2004-08,-0.000484455237898751,-0.00018609773929223472,-0.008772107085910918,-0.00957503447238961
2004-09,0.0072757906827229935,0.007232324394828682,0.011699055880959985,0.010973098679813553
2004-10,0.001031650189938782,0.0006949105622613416,0.009399987383850172,0.007647992517842761
2004-11,0.0009522627024478592,0.001031600244921771,0.0005005465738450177,5.625750100013427e-05
2004-12,-0.0038597724083263563,-0.0037030683913095164,-0.0009023309428649595,-0.0009024657093937849
2005-01,0.0005617128594728182,0.0006490404877637079,-0.0012313278987862164,-0.0012324762067869033
2005-02,0.00161195232025646,0.001678660642708385,0.0010445133365615256,0.0010448179356703502
2005-03,-0.00022890918641182978,-0.00013337072585650755,-0.0034315166408930287,-0.0034319829356393994
2005-04,0.003755417739364608,0.0037778898227311952,0.003656934565724246,0.0032229873250397834
2005-05,0.001220992574908486,0.0014750482988377112,0.0036179061759313846,0.0030175700290600016
2005-06,0.0005891726275799591,0.0006679552673993783,0.0007937082508577831,0.0007940860971833441
2005-07,0.0015448510115785297,0.001607055174973393,0.0005272529333919529,0.000527835623510553
2005-08,0.0011883907954455264,0.0012604938748423944,0.0035653699071278577,0.0035655321036831555
2005-09,-0.00023395012896998413,-0.00014564635147162885,0.00018758709400801266,-0.0005700490854346763
2005-10,0.0019903155719767085,0.0020329563857321986,0.0005757612203067808,0.00019962780294924265
2005-11,-0.0005657641002757563,-0.00047680355083545845,0.0004901922642992496,0.0004903146008752302
2005-12,0.001403669579157052,0.001460372455608372,0.0004145579060466087,-7.749268124679354e-05
2006-01,-0.000717553675683491,-0.00044077476495596457,-0.004970638045175724,-0.0049703550104720495
2006-02,-0.0018594441801568218,-0.0016576978324722713,-0.003820235343382161,-0.003481299596936993
2006-03,0.0011671727712438962,0.0012347351578831933,-0.000854520963125105,-0.0008541724673315487
2006-04,0.0029054003631749925,0.00293624738464926,0.0019485659772262576,0.001548165628062037
2006-05,-0.0023824921542411337,-0.002274829131159062,-0.002210754686177152,-0.0022107534456035083
2006-06,-0.0009385785782184408,-0.0008462914545205313,-0.001582384652822455,-0.0015828894263369975
2006-07,0.0005620024456589601,0.0006289405179933372,0.0013584545541764914,0.001358397840407033
2006-08,-0.00033306494766494055,-0.00023977016317211497,-9.577813376726585e-05,-9.50129707100178e-05
2006-09,0.0006009687257071405,0.0006571219420847818,0.0011500693485937408,0.0011491719061493821
2006-10,0.0004778224805046527,0.0006686076035071764,0.0003583545359766571,0.000300136919604288
2006-11,-2.0888310205302574e-05,5.749390818210465e-05,-1.9206263580096028e-05,-2.1085136991061404e-05
2006-12,0.0002850468034891751,0.0003667566375347153,0.0002488386832260048,-0.00012397849886047752
2007-01,-0.00033490185681139817,-0.00033361134278564464,-0.0004184145485639501,-0.00041517577205996137
2007-02,-6.1018427565118216e-05,-8.682319005259842e-05,0.00021456675396258618,-0.0012047118043533311
2007-03,-0.00019133119429726175,-0.00010362109388484253,-0.0008255894484181514,-0.0008250420925142166
2007-04,0.00017974278605348282,0.0004335929527594651,0.0006631812527317926,0.00023245160581253366
2007-05,-0.000506314215152126,-0.0004098204172022779,-0.00028056891262651096,-0.0002812661090998425
2007-06,-0.0022624226127707647,-0.0021374465105290508,-0.0031765365075352436,-0.003176127450688071
2007-07,0.0002254540737698374,0.0004905473326810572,-0.0003537789516980805,-0.00035320061795107716
2007-08,0.0006442249686848811,0.0007228710978977038,0.0011409275009437447,0.0011406410402647893
2007-09,0.002305546947629189,0.002358718162215334,0.0016461348753127325,0.0016465988474809734
2007-10,-0.0004233373195022816,-0.00032094469817178783,-0.0012928171351784812,-0.0026169499210044744
2007-11,0.00014840144471928163,0.0002447726019585428,0.0001873806844896464,6.659052477364646e-05
2007-12,0.00045186632270555194,0.0005360820863939963,-0.0009685486460818682,-0.0009682217932432957
2008-01,-0.00019896662360929795,-9.187548489841824e-05,0.0002846421902791274,0.00028562779279117656
2008-02,0.00021420366940194668,0.00031425531179940513,0.0005568335571586314,0.0005566511864623092
2008-03,0.000565341370069028,0.0006594136755349034,0.0004914538844080774,0.0004918663551511937
2008-04,-0.0002472824687033137,-0.00013754481668604157,0.00014742824675506583,0.00014701732436361858
2008-05,0.00019716719261775317,0.0003014064524293758,8.787076697092111e-05,8.821541212467032e-05
2008-06,-0.00011180355700945999,0.00021220132663279934,8.232882465208924e-05,-0.0003267856644707523
2008-07,0.00017969657246963422,0.0002837526242955857,0.0005118834235362524,0.000512202170382059
2008-08,0.00021846947122083904,0.0003249367902860012,0.0003524175264582041,0.00035262156752691176
2008-09,-0.0004263561169921548,-0.00030947444290563286,-0.00017826195394288202,-0.00017806577982171223
2008-10,0.00017117408404354606,0.0002749250114220114,0.0006210565441981952,0.0006212200459589923
2008-11,0.0003583210438098394,0.0004593017987757353,-0.00010015979692801213,-0.00021815049227746908
2008-12,0.00017841729394008077,0.00027924884343799583,-0.0008971048182900843,-0.0008974792774568696
2009-01,-0.0009362173894829073,-0.0008214263547596801,0.0011333055376570034,0.0011337258387438265
2009-02,-0.0007289326747244029,-0.0004223506106869612,0.000171980071432154,0.0001713662708568986
2009-03,7.30202032299676e-05,0.00036620220147676186,0.0004457899164276302,0.00033457124694713514
2009-04,-0.00012252223288444775,-2.215795566129497e-05,0.00022180577057140383,0.00022271173054511095
2009-05,-0.00035925150729432254,-0.0002564777710413191,0.00039450973945931445,0.0003949653101222861
2009-06,3.914327122211958e-06,9.93214299251921e-05,-0.0003360531232776687,-0.0003364975913855428
2009-07,0.0003322239367842261,0.00042289031742037686,0.00023220668967049996,0.00023255835938584823
2009-08,0.00038710983794998377,0.000477033949680461,0.0008117667669480522,0.000808611044831542
2009-09,-0.0008234622165933514,-0.0007115765806647856,-0.0011536390904196558,-0.0011537707368503014
2009-10,0.0001599828818317217,0.0002533773439317155,0.0004257478996689823,0.00042626111783383713
2009-11,0.00013103629705413233,0.0004199178487989119,0.00017125096187209365,0.0001720576478674296
2009-12,0.0002826224164516056,0.00037619184416093354,0.00012161815203470816,0.00012060377860190208
2010-01,0.0001227690713767604,0.0002196280863426825,0.0006008675539752595,0.0006009564117024357
2010-02,-0.0001848019290937586,-8.191023690085064e-05,5.563662017160631e-05,-0.000158062455368424
2010-03,0.00012822283155466963,0.00022470221376313937,-3.666716045103158e-05,-3.543774474190631e-05
2010-04,0.0005897976836140018,0.0006773273390234813,0.0005552178407073338,0.0005386457307423598
2010-05,-0.0003836367195146906,-0.00027747294088287244,-0.00021550279540993866,-0.00021505574835700703
2010-06,0.00029657130076565785,0.00039039682732600056,0.0005460615581343031,0.00048815074391939106
2010-07,-4.304887808759261e-05,5.470718888922477e-05,-0.0001688937744036556,-0.00016930905343359726
2010-08,1.8583161113028268e-05,0.0003089700175495924,0.0004691946608785802,0.00046932457751580614
2010-09,-0.00037388460213672037,-0.00027123899500491877,-0.00013880551415645925,-0.00019231800521857245
2010-10,-0.0024308489272407696,-0.0022884951043307122,-0.003744198338969107,-0.002877491971638557
2010-11,-0.0013276589553324891,-0.0012003569834896366,-0.0018569319669508033,-0.0018835655791077377
2010-12,0.0004931165776091984,0.0005859112811654743,-0.00010712742219876059,-6.966393355012368e-05
2011-01,-0.000168063143145325,-6.1478248181146e-05,0.0001265509853318747,-3.927319680951946e-05
