n_obs,mean_error_raw,mae_raw,rmse_raw,corr_raw,summary_type,forecast_year
12.0,-0.25422780416075685,0.5400363596342744,0.6253206324348675,0.35956061700309927,nowcast_monthly_by_year,2015
12.0,-0.4568300595564083,0.4568300595564083,0.4870782937327377,0.5164893872067032,nowcast_monthly_by_year,2016
12.0,0.2630108947350451,0.30208033955443664,0.37309719665692664,-0.20254091532729082,nowcast_monthly_by_year,2017
12.0,-0.05442876830843605,0.16126296371254015,0.18929885331780755,0.6639809536254867,nowcast_monthly_by_year,2018
12.0,-0.297195927275077,0.31164245961777676,0.42094980428692474,0.6675928869428415,nowcast_monthly_by_year,2019
12.0,2.126647114297733,3.767607500223752,6.078631333385943,-0.05381204877308085,nowcast_monthly_by_year,2020
12.0,-1.327686613211416,3.5120437665968196,5.403566748525502,0.4177427493052571,nowcast_monthly_by_year,2021
12.0,1.6120150513390055,1.6120150513390055,2.0107996343142913,0.6634966305391997,nowcast_monthly_by_year,2022
12.0,-0.1989362303415431,0.917310381942873,1.3620350712892435,0.34685100856389495,nowcast_monthly_by_year,2023
12.0,0.7904058088964421,0.9227783030828718,1.960709446412047,0.34373516550747724,nowcast_monthly_by_year,2024
12.0,-0.5370733467406748,0.6611493194159012,1.0502283733621463,0.2568342045715514,nowcast_monthly_by_year,2025
