n_obs,mean_error_raw,mae_raw,rmse_raw,corr_raw,summary_type,calendar_year
12.0,0.05121958721151213,0.44540918650821704,0.575683148808161,0.4374690536723796,filter_monthly_by_year,2005
24.0,-0.313343022132442,0.7383668986235853,0.8674798014444554,0.3459892363964401,filter_monthly_by_year,2006
36.0,-1.9434481236121597,1.9782914177383952,2.1762775315586764,0.20746972342798137,filter_monthly_by_year,2007
48.0,0.27872849004900785,0.6451954763069052,0.8424029742003796,0.8957906824700985,filter_monthly_by_year,2008
60.0,0.3405219465477552,0.8493478044430618,1.0492419333403644,0.8995816167292948,filter_monthly_by_year,2009
72.0,0.2611329164566598,0.6103086772429547,0.8203831816856662,0.7393761645563942,filter_monthly_by_year,2010
84.0,0.08094385166157766,0.39598127112313447,0.48156396336493723,0.6172205770804572,filter_monthly_by_year,2011
96.0,0.48261642761472884,0.6697976402357684,0.8551755869955096,0.1811622675640208,filter_monthly_by_year,2012
108.0,0.29067069154730246,0.5166894946570133,0.7006360796650236,0.21788379399624913,filter_monthly_by_year,2013
120.0,-0.06923524952129136,0.39582952913578817,0.48622810298583247,0.08715339944899252,filter_monthly_by_year,2014
120.0,-0.3125796960646534,0.4308241538362124,0.5376924821446325,0.22717363680045619,filter_monthly_by_year,2015
108.0,-0.0922952268049776,0.2090402304065408,0.27865959362839837,0.10793933020008363,filter_monthly_by_year,2016
96.0,-0.0918556024811887,0.2772729898394502,0.43202200433838495,0.009601355638968204,filter_monthly_by_year,2017
84.0,-0.014547433059407215,0.33816198139976156,0.5611091815568857,0.380405542304658,filter_monthly_by_year,2018
72.0,0.08408532793827332,0.2298368408028161,0.2949700586226632,0.5396497602217543,filter_monthly_by_year,2019
60.0,1.5167033820320444,2.7012964314961563,4.892641826781155,0.4773301719488466,filter_monthly_by_year,2020
48.0,-0.7122271199025524,2.5658277322625005,4.262969116911848,0.6812126374652787,filter_monthly_by_year,2021
36.0,0.8134548563860755,1.2394551056607537,1.6621836606886764,0.5575228894346583,filter_monthly_by_year,2022
24.0,-0.08974904253226083,0.7724270257740985,1.0953539066709062,0.6411066791951274,filter_monthly_by_year,2023
12.0,0.2081599517838142,0.6674119976094587,1.1841925869018317,0.3566152412685292,filter_monthly_by_year,2024
