n_obs,mean_error_raw,mae_raw,rmse_raw,corr_raw,summary_type,calendar_year
12.0,-0.025618875612571184,0.21140405845494925,0.25147307673421493,0.9305233710452899,smoother_monthly_by_year,2005
24.0,-0.26718152207618084,0.4725688362920321,0.5406088009941862,0.5152048226658607,smoother_monthly_by_year,2006
36.0,-1.409979539301753,1.409979539301753,1.5595718864278614,0.27068317429247607,smoother_monthly_by_year,2007
48.0,-0.3003903001347309,0.5302735851323653,0.6918312477357947,0.9659621093916512,smoother_monthly_by_year,2008
60.0,0.680395706121858,0.8584240232190203,0.9996948125878408,0.9407189996157722,smoother_monthly_by_year,2009
72.0,0.061280350080141814,0.3781976234538153,0.5209931681916118,0.8348443194162103,smoother_monthly_by_year,2010
84.0,0.023838143138934953,0.23375028777821316,0.275472762744914,0.8668610472947571,smoother_monthly_by_year,2011
96.0,0.44119290055362,0.545492389336494,0.7052630680995842,0.3776165971145839,smoother_monthly_by_year,2012
108.0,0.1443194477989463,0.36755165883373164,0.48828433583803205,0.16047634843782502,smoother_monthly_by_year,2013
120.0,-0.1398321968634976,0.31508733890923313,0.4408465288121756,0.3031403694835593,smoother_monthly_by_year,2014
120.0,-0.26063018750071903,0.33484579790410696,0.43099415931386104,0.1638344092303408,smoother_monthly_by_year,2015
108.0,-0.02875575949839603,0.1679064371162092,0.2186416376537634,0.2669901390347745,smoother_monthly_by_year,2016
96.0,-0.05932271460098623,0.22163801978142386,0.4323137021917617,0.031037907690237537,smoother_monthly_by_year,2017
84.0,0.005380582952653307,0.27796938470363686,0.4871341524203906,0.3772655332513103,smoother_monthly_by_year,2018
72.0,0.0246903752583905,0.2008234797680288,0.24798572223992066,0.5565201370001472,smoother_monthly_by_year,2019
60.0,0.48972290688952663,1.3152273434537027,1.9932776755767794,0.9358427308289382,smoother_monthly_by_year,2020
48.0,0.03658891091805037,1.0110864888883748,1.4617288450317307,0.9675822157513558,smoother_monthly_by_year,2021
36.0,0.49099419513330644,0.6986028716410887,0.8845074719441636,0.9024373169722286,smoother_monthly_by_year,2022
24.0,0.10774776472182462,0.6486128655234811,1.0200945742529797,0.7324844353421521,smoother_monthly_by_year,2023
12.0,-0.14395598151539332,0.6156521752984031,0.9200390446027843,0.3947994699160772,smoother_monthly_by_year,2024
