n_obs,mean_error_raw,mae_raw,rmse_raw,corr_raw,months_before_quarter_end
36.0,0.18985504997616737,0.9744102279813188,2.0375456161341443,0.8215529883658249,0
36.0,0.09120356167814012,1.4929875353171622,3.2544429017871015,0.35552263819149355,1
36.0,0.16691068116511587,1.8518808212868514,3.740429533435439,0.26401050122413233,2
