n_obs,mean_error_raw,mae_raw,rmse_raw,corr_raw,summary_type,train_window
120.0,0.06171740519477183,0.5770483619546284,0.7485627543459696,0.9461925136508355,filter_monthly_by_window,2005-2014
120.0,0.02179510881971149,0.5819343510171447,0.7289837894398703,0.9534574308775824,filter_monthly_by_window,2006-2015
120.0,0.025173446416923397,0.3276954422346725,0.42063760724506405,0.9660840339448498,filter_monthly_by_window,2008-2017
120.0,0.041291299601531814,0.365048047326594,0.5161039303762781,0.9393861865704352,filter_monthly_by_window,2009-2018
120.0,0.08576210112514497,0.21761573080518593,0.2728723469509702,0.9823634525871635,filter_monthly_by_window,2010-2019
120.0,0.005897995258617494,0.2937542370960216,0.42047205425570633,0.9420226181843581,filter_monthly_by_window,2011-2020
120.0,-0.008525457354681888,0.2839004756684541,0.4198785961279172,0.9161056346049878,filter_monthly_by_window,2012-2021
120.0,-0.0902913578916595,0.3991391476044625,0.5405884866325206,0.9167647757013887,filter_monthly_by_window,2013-2022
120.0,-0.11546564630370772,0.4798180210535811,0.6177478436816006,0.8783872168123553,filter_monthly_by_window,2014-2023
120.0,-0.07318023873641345,0.44435751412215635,0.5902465394984265,0.8746122745043206,filter_monthly_by_window,2015-2024
120.0,-0.028252169340555026,0.47653397125720054,0.6258354981944003,0.8525550892354599,filter_monthly_by_window,2016-2025
