n_obs,mean_error_raw,mae_raw,rmse_raw,corr_raw,summary_type,train_window
120.0,-0.007967669589784602,0.24770473562445824,0.35485867317262254,0.9881554632541103,smoother_monthly_by_window,2005-2014
120.0,-0.009111915356616965,0.17473578713804977,0.23077674195370074,0.9954284570719588,smoother_monthly_by_window,2006-2015
120.0,-0.007003751073676708,0.22586135570810395,0.27962951153250615,0.9849916723233365,smoother_monthly_by_window,2008-2017
120.0,-0.016321407318541873,0.29110603062795076,0.40271738882454117,0.9632437603404991,smoother_monthly_by_window,2009-2018
120.0,0.01281052692970266,0.12117557391065938,0.14513551026753477,0.9944719949113109,smoother_monthly_by_window,2010-2019
117.0,-0.023202067656059044,0.2192467071255508,0.31478188812977737,0.9654101921045072,smoother_monthly_by_window,2011-2020
114.0,-0.04087349302766697,0.1861091388172412,0.24697392438307805,0.9712323877143253,smoother_monthly_by_window,2012-2021
111.0,-0.05345959154965361,0.1788110830984445,0.26666875211053365,0.9777169090040161,smoother_monthly_by_window,2013-2022
108.0,-0.061339370444391424,0.21428396611705408,0.2994798459686957,0.9711826811554884,smoother_monthly_by_window,2014-2023
108.0,-0.04920750786998217,0.22267147242738078,0.31780453495087135,0.9645955147192126,smoother_monthly_by_window,2015-2024
108.0,-0.02334103846449392,0.1800221753044566,0.2586791561993881,0.9750604765339371,smoother_monthly_by_window,2016-2025
