variable,source_group,use_for_pca_init,coverage_rate,n_obs,n_obs_with_gdp,corr_with_gdp_quarter_end,cross_family_high_corr_dropped,cross_family_high_corr_kept_against,cross_family_high_corr_abs,rule_note
制造业PMI_去季节性,中国:制造业PMI,True,1.0,120,40,0.7546950577977901,False,,,同一变量族优先保留去季节性变量；多个去季节性变量中保留与 GDP 相关性更高的变量
制造业PMI一阶差分_去季节性,中国:制造业PMI,False,0.9916666666666667,119,40,0.17386176262560837,False,,,同一变量族内存在去季节性保留变量 制造业PMI_去季节性，且该变量与 GDP 相关性更高，不用于 PCA 初始化
服务业PMI,中国:非制造业PMI:服务业,True,0.2916666666666667,35,12,0.6624307686708699,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
服务业PMI一阶差分,中国:非制造业PMI:服务业,False,0.2833333333333333,34,12,0.49705988548905394,False,,,同一变量族无去季节性候选，服务业PMI 与 GDP 相关性更高，不用于 PCA 初始化
工业增加值,中国:工业增加值:规模以上工业企业:当月同比(1-2月拆分),True,1.0,120,40,0.9417814596959951,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量；不同变量族中与 用电量 的相关系数绝对值 0.902 高于 0.9，因训练期有效样本数不短于对方而保留
用电量,中国:全社会用电量:当月同比,False,0.4666666666666667,56,17,0.890337727260679,True,工业增加值,0.9023767116281994,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量；不同变量族中与 工业增加值 的相关系数绝对值 0.902 高于 0.9，且训练期有效样本数更短，不用于 PCA 初始化
社零,中国:社会消费品零售总额:当月同比(1-2月合并),True,0.9833333333333333,118,40,0.25783332773730616,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
固投累计同比_去季节性,中国:固定资产投资完成额,True,0.9166666666666666,110,40,0.5596937701147088,False,,,同一变量族优先保留去季节性变量；多个去季节性变量中保留与 GDP 相关性更高的变量
固投当月同比_去季节性,中国:固定资产投资完成额,False,0.9083333333333333,109,40,-0.3035027759332846,False,,,同一变量族内存在去季节性保留变量 固投累计同比_去季节性，且该变量与 GDP 相关性更高，不用于 PCA 初始化
CPI,中国:CPI:当月同比,True,1.0,120,40,0.31733238843471623,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
PPI,中国:PPI:当月同比,True,1.0,120,40,0.5695650812144062,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
逆回购7天(19日),中国:逆回购利率:7天:当月19日值,True,1.0,120,40,0.008136745869728504,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
银行间7天回购(20-19均值),中国:银行间质押式回购加权利率:7天:上月20日至当月19日均值,True,1.0,120,40,-0.34182016743766713,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
