variable,source_group,use_for_pca_init,coverage_rate,n_obs,n_obs_with_gdp,corr_with_gdp_quarter_end,cross_family_high_corr_dropped,cross_family_high_corr_kept_against,cross_family_high_corr_abs,rule_note
制造业PMI_去季节性,中国:制造业PMI,True,1.0,120,42,0.21184700240917645,False,,,同一变量族优先保留去季节性变量；多个去季节性变量中保留与 GDP 相关性更高的变量
制造业PMI一阶差分_去季节性,中国:制造业PMI,False,1.0,120,42,0.13804703448095537,False,,,同一变量族内存在去季节性保留变量 制造业PMI_去季节性，且该变量与 GDP 相关性更高，不用于 PCA 初始化
服务业PMI,中国:非制造业PMI:服务业,True,0.8916666666666667,107,38,0.21123482948145184,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
服务业PMI一阶差分,中国:非制造业PMI:服务业,False,0.8833333333333333,106,38,-0.07589633288346564,False,,,同一变量族无去季节性候选，服务业PMI 与 GDP 相关性更高，不用于 PCA 初始化
工业增加值,中国:工业增加值:规模以上工业企业:当月同比(1-2月拆分),True,1.0,120,42,0.8424875509480011,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
用电量,中国:全社会用电量:当月同比,True,0.9,108,39,0.1840586126626601,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
社零_去季节性,中国:社会消费品零售总额:当月同比(1-2月合并),True,0.9416666666666667,113,42,0.935107632041344,False,,,同一变量族优先保留去季节性变量；多个去季节性变量中保留与 GDP 相关性更高的变量；不同变量族中与 固投累计同比_去季节性 的相关系数绝对值 0.921 高于 0.9，因训练期有效样本数不短于对方而保留
固投累计同比_去季节性,中国:固定资产投资完成额,False,0.925,111,42,0.9186776413787853,True,社零_去季节性,0.9210164638758777,同一变量族优先保留去季节性变量；多个去季节性变量中保留与 GDP 相关性更高的变量；不同变量族中与 社零_去季节性 的相关系数绝对值 0.921 高于 0.9，且训练期有效样本数更短，不用于 PCA 初始化
固投当月同比_去季节性,中国:固定资产投资完成额,False,0.9166666666666666,110,42,0.3800330308891548,False,,,同一变量族内存在去季节性保留变量 固投累计同比_去季节性，且该变量与 GDP 相关性更高，不用于 PCA 初始化
CPI,中国:CPI:当月同比,True,1.0,120,42,0.34764782777024444,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
PPI,中国:PPI:当月同比,True,1.0,120,42,0.3487284704848606,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
失业率差分,中国:城镇调查失业率,True,0.2916666666666667,35,14,0.3152413478182494,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
逆回购7天(19日),中国:逆回购利率:7天:当月19日值,True,1.0,120,42,0.6949930465462882,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
银行间7天回购(20-19均值),中国:银行间质押式回购加权利率:7天:上月20日至当月19日均值,True,1.0,120,42,0.6051363725494199,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
