variable,source_group,use_for_pca_init,coverage_rate,n_obs,n_obs_with_gdp,corr_with_gdp_quarter_end,cross_family_high_corr_dropped,cross_family_high_corr_kept_against,cross_family_high_corr_abs,rule_note
制造业PMI_去季节性,中国:制造业PMI,True,1.0,120,40,0.7704516979628506,False,,,同一变量族优先保留去季节性变量；多个去季节性变量中保留与 GDP 相关性更高的变量
制造业PMI一阶差分_去季节性,中国:制造业PMI,False,1.0,120,40,0.2121743763020224,False,,,同一变量族内存在去季节性保留变量 制造业PMI_去季节性，且该变量与 GDP 相关性更高，不用于 PCA 初始化
服务业PMI,中国:非制造业PMI:服务业,True,0.39166666666666666,47,16,0.5816645431230189,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
服务业PMI一阶差分,中国:非制造业PMI:服务业,False,0.38333333333333336,46,16,0.1866979490833174,False,,,同一变量族无去季节性候选，服务业PMI 与 GDP 相关性更高，不用于 PCA 初始化
工业增加值,中国:工业增加值:规模以上工业企业:当月同比(1-2月拆分),True,1.0,120,40,0.9424169077459119,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量；不同变量族中与 用电量 的相关系数绝对值 0.927 高于 0.9，因训练期有效样本数不短于对方而保留
用电量,中国:全社会用电量:当月同比,False,0.5583333333333333,67,21,0.8994140192835917,True,工业增加值,0.9267954733251481,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量；不同变量族中与 工业增加值 的相关系数绝对值 0.927 高于 0.9，且训练期有效样本数更短，不用于 PCA 初始化
社零,中国:社会消费品零售总额:当月同比(1-2月合并),True,0.975,117,40,0.45458132674070356,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
固投累计同比_去季节性,中国:固定资产投资完成额,True,0.9166666666666666,110,40,0.6180148700516689,False,,,同一变量族优先保留去季节性变量；多个去季节性变量中保留与 GDP 相关性更高的变量
固投当月同比_去季节性,中国:固定资产投资完成额,False,0.9083333333333333,109,40,-0.32654806744470266,False,,,同一变量族内存在去季节性保留变量 固投累计同比_去季节性，且该变量与 GDP 相关性更高，不用于 PCA 初始化
CPI,中国:CPI:当月同比,True,1.0,120,40,0.41428189138851923,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
PPI,中国:PPI:当月同比,True,1.0,120,40,0.6249397224672463,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
逆回购7天(19日),中国:逆回购利率:7天:当月19日值,True,1.0,120,40,0.25339588525564066,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
银行间7天回购(20-19均值),中国:银行间质押式回购加权利率:7天:上月20日至当月19日均值,True,1.0,120,40,-0.2704011423561688,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
