n_obs,mean_error_raw,mae_raw,rmse_raw,corr_raw,summary_type,calendar_year
12.0,0.05121958721151213,0.44540918650821704,0.575683148808161,0.4374690536723796,filter_monthly_by_year,2005
24.0,-0.6341187654482954,1.036871719460833,1.1804266847523346,0.13601099135174743,filter_monthly_by_year,2006
36.0,-1.6871408717154648,1.7219841658417003,1.9016407897216827,0.24818199886058312,filter_monthly_by_year,2007
48.0,0.22914642185663014,0.7202969032963642,0.9117910355033224,0.8882973839694647,filter_monthly_by_year,2008
60.0,0.2421152320703269,0.8480119092043922,1.0691257193839572,0.8970043947347344,filter_monthly_by_year,2009
72.0,0.19362560791777317,0.6074109501838545,0.7841586982960319,0.7230498065735057,filter_monthly_by_year,2010
84.0,-0.027337478705691393,0.46661045388387923,0.6416422076599677,0.5765897471031911,filter_monthly_by_year,2011
96.0,0.3172960234984925,0.5769141386155988,0.7260096084065756,0.22209971047587676,filter_monthly_by_year,2012
108.0,0.24732869277365094,0.4793919425333311,0.635295570404248,0.16903995442705888,filter_monthly_by_year,2013
120.0,0.026154817437796705,0.3731261002769626,0.4652280664531009,-0.007532860504926945,filter_monthly_by_year,2014
120.0,-0.23172008709864525,0.32304423911402075,0.4059634367993151,0.2321817015129707,filter_monthly_by_year,2015
108.0,-0.01665460771326709,0.20424465545171847,0.24950565267912636,0.09375589295850902,filter_monthly_by_year,2016
96.0,0.034864849141794725,0.24158569200294208,0.3097902138048935,0.10324320746622367,filter_monthly_by_year,2017
84.0,-0.11330747707820044,0.288747213405179,0.37786209409164256,0.30361169994282566,filter_monthly_by_year,2018
72.0,0.037033006720322136,0.28244830483371497,0.3622403609985659,0.17190613063324472,filter_monthly_by_year,2019
60.0,0.1491202750153814,0.6335795054054854,0.8442615572215398,0.7089327441368835,filter_monthly_by_year,2020
48.0,0.20603429796291953,0.7509987211520102,0.9099145869801237,0.782722838081231,filter_monthly_by_year,2021
36.0,0.0848053030332796,0.7930581719172397,1.0180791644873373,0.28009621296818427,filter_monthly_by_year,2022
24.0,0.45562610590785874,0.5257997801690828,0.6376461900780923,0.5684702908166931,filter_monthly_by_year,2023
12.0,0.0503499779440321,0.2973925058764999,0.3762295928101071,0.32706128259866185,filter_monthly_by_year,2024
