n_obs,mean_error_raw,mae_raw,rmse_raw,corr_raw,summary_type,forecast_year
12.0,-0.25422780416075685,0.5400363596342744,0.6253206324348675,0.35956061700309927,nowcast_monthly_by_year,2015
12.0,-0.320159558343168,0.33258876858281444,0.48173016944933644,0.5532437510583121,nowcast_monthly_by_year,2016
12.0,0.2630108947350451,0.30208033955443664,0.37309719665692664,-0.20254091532729082,nowcast_monthly_by_year,2017
12.0,-0.11027445636843651,0.26468256893918474,0.3378954341226201,0.38778774527414145,nowcast_monthly_by_year,2018
12.0,-0.297195927275077,0.31164245961777676,0.42094980428692474,0.6675928869428415,nowcast_monthly_by_year,2019
12.0,1.8555781538270022,3.8638810814762885,5.952725244445024,0.04233230557393446,nowcast_monthly_by_year,2020
12.0,-1.663078953736277,3.978907549059777,5.614694900059387,0.3564053749872026,nowcast_monthly_by_year,2021
12.0,0.9745239055008595,1.475663564090785,1.8840644188854478,0.5795215893740643,nowcast_monthly_by_year,2022
12.0,0.2585215199715173,0.9803163634447847,1.0874899038747168,0.22149540031329498,nowcast_monthly_by_year,2023
12.0,0.5802919069724476,0.952076279342517,1.2335393366726777,0.5637775196520515,nowcast_monthly_by_year,2024
12.0,-0.012286857940222601,0.23682645462456295,0.31161239949033986,0.57087507422965,nowcast_monthly_by_year,2025
