train_window,forecast_year,calendar_year,month,information_date,target_quarter_end,months_before_quarter_end,latest_released_monthly_period,latest_released_gdp_quarter_end,bridge_gdp_raw,actual_gdp_raw,bridge_nowcast_error_raw,bridge_abs_error_raw,bridge_squared_error_raw,model_loading_gdp_raw,macro_S_target_nowcast,real_S_target_nowcast,nominal_S_target_nowcast
200501_201412,2015,2015,2015-01,2015-01-31,2015-03,2,2015-01,2015-01,7.829980867695679,7.1,0.7299808676956792,0.7299808676956792,0.5328720672017366,7.547790471147094,-160.63474506368038,144.24208113090862,-23.848345780002603
200501_201412,2015,2015,2015-02,2015-02-28,2015-03,1,2015-02,2015-01,7.740815377611628,7.1,0.6408153776116281,0.6408153776116281,0.4106443481835335,7.381937853214083,-322.30921464850053,140.4023147094118,-33.12971015983857
200501_201412,2015,2015,2015-03,2015-03-31,2015-03,0,2015-03,2015-01,6.838114016501809,7.1,-0.2618859834981908,0.2618859834981908,0.0685842683528146,6.425550903794054,-243.6186243196343,207.684091558118,-30.11502216053915
200501_201412,2015,2015,2015-04,2015-04-30,2015-06,2,2015-04,2015-04,6.998953551553386,7.1,-0.1010464484466133,0.1010464484466133,0.010210384743674,6.610409572456531,-223.3302407396318,197.8192007159136,-24.935261207654435
200501_201412,2015,2015,2015-05,2015-05-31,2015-06,1,2015-05,2015-04,6.315929629416662,7.1,-0.7840703705833381,0.7840703705833381,0.6147663460266931,5.87188029444671,-199.12118291982935,246.541207004838,-30.129795392412063
200501_201412,2015,2015,2015-06,2015-06-30,2015-06,0,2015-06,2015-04,6.13253504598136,7.1,-0.9674649540186396,0.9674649540186396,0.9359884372542888,5.649333362963612,-250.18149146350692,256.0613362659662,-30.37027646129055
200501_201412,2015,2015,2015-07,2015-07-31,2015-09,2,2015-07,2015-07,7.169428441858997,7.0,0.1694284418589973,0.1694284418589973,0.0287059969107676,6.835242782040736,-133.22487959567388,191.60848989892656,-25.698067079450595
200501_201412,2015,2015,2015-08,2015-08-31,2015-09,1,2015-08,2015-07,6.700065345773348,7.0,-0.2999346542266519,0.2999346542266519,0.0899607968060612,6.324540411692713,-124.17735180501109,224.6198829433393,-31.39730594635577
200501_201412,2015,2015,2015-09,2015-09-30,2015-09,0,2015-09,2015-07,6.11116745356187,7.0,-0.8888325464381301,0.8888325464381301,0.7900232956076908,5.67432040592461,-135.26878349019205,264.64962520337656,-31.61208574880504
200501_201412,2015,2015,2015-10,2015-10-31,2015-12,2,2015-10,2015-10,7.074626645674801,6.9,0.1746266456748006,0.1746266456748006,0.0304944653796323,6.716539123458573,-168.3141730507832,195.9916666490417,-24.571650341552697
