scheme_choice,scheme_label,signal_name,signal_col,signal_label,target_clean,duration_bucket,index_type,series_family,trade_side,trade_side_label,threshold,n_obs,trade_months,coverage_ratio,mean_signal_abs_trade,avg_monthly_ret_all,avg_monthly_ret_trade,trade_win_rate,annualized_sharpe,cum_return,max_drawdown
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.1,120,57,0.475,1.2031213979955995,0.00043309917424810097,0.0009117877352591597,0.6140350877192983,0.40316689490025426,0.05246745851305046,-0.027687011653768856
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合净价(5-7年)指数,5-7年,净价,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.1,120,51,0.425,2.135294117647059,0.0018448440830329648,0.004340809607136388,0.7843137254901961,1.4469631603477255,0.24611145695271275,-0.0058914867951112004
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合净价(5-7年)指数,5-7年,净价,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.1,120,57,0.475,1.2031213979955995,0.0016857162141694882,0.0035488762403568176,0.7543859649122807,1.4318560845165682,0.22278577554781775,-0.017183965312440153
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合财富(5-7年)指数,5-7年,财富,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.1,120,51,0.425,2.135294117647059,0.0018429562688592382,0.004336367691433502,0.7843137254901961,1.4465235464201496,0.2458317347171668,-0.0058879541367137245
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合财富(5-7年)指数,5-7年,财富,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.1,120,57,0.475,1.2031213979955995,0.001691998337837749,0.0035621017638689458,0.7543859649122807,1.436550143378306,0.22370534532093855,-0.016902435940687077
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合全价(5-7年)指数,5-7年,全价,综合,long_on_weak_growth,增长明显走弱时做多债券,0.1,120,51,0.425,2.135294117647059,0.0007944597540092133,0.0018693170682569725,0.6274509803921569,0.7185863674011225,0.09903144974977152,-0.011940921300315988
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合全价(5-7年)指数,5-7年,全价,综合,long_on_weak_growth,增长明显走弱时做多债券,0.1,120,57,0.475,1.2031213979955995,0.0005360395442663167,0.0011285043037185614,0.6140350877192983,0.4869813748525961,0.06549914924848821,-0.028313892723756284
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合净价(5-7年)指数,5-7年,净价,综合,long_on_weak_growth,增长明显走弱时做多债券,0.1,120,51,0.425,2.135294117647059,0.00078496055066188,0.0018469660015573647,0.6274509803921569,0.708035656928085,0.09777502550130568,-0.011941493128228897
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合净价(5-7年)指数,5-7年,净价,综合,long_on_weak_growth,增长明显走弱时做多债券,0.1,120,57,0.475,1.2031213979955995,0.0005430269714860482,0.0011432146768127335,0.631578947368421,0.4919253963960702,0.06638714569774962,-0.028375869012953414
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合财富(5-7年)指数,5-7年,财富,综合,long_on_weak_growth,增长明显走弱时做多债券,0.1,120,51,0.425,2.135294117647059,0.0007168878333779828,0.0016867949020658419,0.5686274509803921,0.6324641141757824,0.08880822722717263,-0.014254632346954565
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合财富(5-7年)指数,5-7年,财富,综合,long_on_weak_growth,增长明显走弱时做多债券,0.1,120,57,0.475,1.2031213979955995,0.0004244443278105266,0.0008935670059168985,0.6140350877192983,0.39551356222804046,0.05137712860007948,-0.028231191355327034
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,45,0.375,2.4066666666666667,0.0005842335205266409,0.001557956054737709,0.6444444444444445,0.6893949283097655,0.07205453917463323,-0.010619959107390775
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,49,0.4083333333333333,1.3750335293298157,0.00041528635542940824,0.0010170278092148772,0.6530612244897959,0.5634202557607292,0.05067905836995923,-0.01202583544319269
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合净价(3-5年)指数,3-5年,净价,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,45,0.375,2.4066666666666667,0.0004987882621936781,0.0013301020325164749,0.6222222222222222,0.5969276009837937,0.06113959436254257,-0.012023315172210558
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合净价(3-5年)指数,3-5年,净价,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,49,0.4083333333333333,1.3750335293298157,0.000293951990233492,0.0007198824250616131,0.6326530612244898,0.40753320462864834,0.03551403661666197,-0.011663534725501079
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合财富(3-5年)指数,3-5年,财富,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,45,0.375,2.4066666666666667,0.0004988510090311346,0.0013302693574163587,0.6222222222222222,0.5970138275652226,0.06114760060693292,-0.012023336240861382
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合财富(3-5年)指数,3-5年,财富,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,49,0.4083333333333333,1.3750335293298157,0.00029393834981751365,0.000719849019961258,0.6326530612244898,0.40751574743932667,0.03551234488685595,-0.011663830557921417
