scheme_choice,scheme_label,signal_name,signal_col,signal_label,trade_side,trade_side_label,threshold,target_clean,duration_bucket,index_type,series_family,trade_months,loss_months,mean_trade_ret,std_trade_ret,min_trade_ret,p10_trade_ret,p25_trade_ret,p50_trade_ret,p75_trade_ret,p90_trade_ret,max_trade_ret,trade_win_rate,worst1_loss_share,worst3_loss_share,worst5_loss_share,cum_return_trade_months,cum_return_ex_worst1_loss,cum_return_ex_worst3_loss,cum_return_ex_worst5_loss,mild_loss_months,medium_loss_months,tail_loss_months,mild_loss_share,medium_loss_share,tail_loss_share
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,21,12,0.0011794368248415287,0.005528620820456827,-0.0045066209667417,-0.0036469909143383,-0.0015430093555093,-0.0005474136062091,0.0018870335777776,0.0072178606740126,0.0201792447798958,0.42857142857142855,0.18962127881593335,0.5154053668236727,0.7419473832035548,0.024752257798332344,0.02939133436878083,0.03740820485810836,0.043016456556336236,7,5,0,0.2580526167964452,0.7419473832035548,0.0
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合净价(3-5年)指数,3-5年,净价,新综合,21,11,0.001395822615509876,0.005485467286821172,-0.0041344855442049,-0.0025732946517906,-0.001721058035264,-0.0008064264435385,0.0025389993107426,0.007445771797961,0.0198485987225274,0.47619047619047616,0.18468684635762364,0.46369184147362125,0.6808812045993106,0.02941828227446841,0.03369206718339757,0.04017912835442483,0.04525508884046836,6,5,0,0.31911879540068944,0.6808812045993106,0.0
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合财富(3-5年)指数,3-5年,财富,新综合,21,11,0.001395784220165852,0.005485755018846483,-0.0041349637905652,-0.0025744441769002,-0.0017220638318238,-0.0008065941836823,0.0025392185462196,0.0074465936363852,0.0198488088098949,0.47619047619047616,0.18467788057471948,0.4637176495678064,0.6808645163591953,0.029417421079540595,0.03369169882478906,0.04018064011770828,0.045256447677813005,6,5,0,0.3191354836408046,0.6808645163591952,0.0
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-综合全价(3-5年)指数,3-5年,全价,综合,21,16,-0.001351804539084543,0.005341858464588029,-0.0066442362701157,-0.005334574807019,-0.0042535304255775,-0.0030593717095173,-0.0003373932186354,0.004794419234935,0.0165145800685326,0.23809523809523808,0.11224112401656519,0.31272729669595706,0.48515070965149115,-0.028283605504205056,-0.021784107994539004,-0.010070123694096988,0.0001117719757834923,3,8,5,0.047498143942949926,0.46735114640555897,0.485150709651491
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-综合净价(3-5年)指数,3-5年,净价,综合,21,16,-0.0013495171521424238,0.00533772878584661,-0.0066366059575173,-0.0053231396811559,-0.0042501554735796,-0.0030563289391982,-0.0003409323688543,0.0047974177638234,0.0165056161177107,0.23809523809523808,0.11223656035061665,0.3126322959531878,0.48497826509002145,-0.02823643693082456,-0.021744138250763267,-0.010048091151633964,0.00011806136399217237,3,9,4,0.04760312814544801,0.551931796338197,0.400465075516355
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-综合财富(3-5年)指数,3-5年,财富,综合,21,12,0.0011793994780187143,0.0055288256123437645,-0.0045065999883699,-0.003647434160529,-0.0015431679499231,-0.0005484911507072,0.0018875047187617,0.0072188950945426,0.0201795433586418,0.42857142857142855,0.18960000696488458,0.5153925045865495,0.7419034117094325,0.024751432026993037,0.029390483166459314,0.037408422372042116,0.04301650771370791,7,5,0,0.2580965882905675,0.7419034117094323,0.0
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,21,13,0.0010836053537241093,0.00586699241663141,-0.005160709462501,-0.0039457833831486,-0.0031669881110352,-0.0004692314980665,0.0034687869333721,0.0074428130030058,0.01940713048904,0.38095238095238093,0.16130678297919426,0.42810950783118445,0.6671147061159862,0.022654729607537005,0.027959731118992748,0.03679084995155013,0.044764397064311456,6,6,1,0.15683057290820593,0.6818626441125999,0.1613067829791943
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合净价(5-7年)指数,5-7年,净价,新综合,21,15,-0.001582129442485319,0.0057567153763956325,-0.0076769487232082,-0.0066139591309317,-0.0055814599303811,-0.003337588243637,0.00072632668967,0.0046816917453993,0.016324226748331,0.2857142857142857,0.11377195044177427,0.31993942421253346,0.508368847023609,-0.03302398563230413,-0.025543130209947917,-0.011844105222410861,0.0008407396182141813,2,7,6,0.025658454545944252,0.3832557746255038,0.5910857708285518
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合财富(5-7年)指数,5-7年,财富,新综合,21,15,-0.001580056062795648,0.005753094204256917,-0.0076737320711861,-0.0066074016387436,-0.0055730227695476,-0.0033378142974829,0.0007241680198059,0.0046846098830183,0.0163146838425325,0.2857142857142857,0.11381721900360228,0.3199172416665917,0.5082957663569047,-0.03298141213695038,-0.025503386218513113,-0.011819632904456201,0.0008516109373220004,2,7,6,0.025775339175685905,0.383269512149984,0.5909551486743301
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-综合全价(5-7年)指数,5-7年,全价,综合,21,13,0.0007812135479749906,0.005881317607120337,-0.0053415890156367,-0.0043785073856672,-0.0026515617945246,-0.000670614277717,0.0028221766774272,0.0073256597203098,0.0197634326730317,0.38095238095238093,0.15483232881908976,0.41616103377162844,0.6580491678551154,0.016185541917646207,0.021642737542407753,0.030916161856062496,0.039573284359521343,6,6,1,0.1935105461910341,0.6516571249898763,0.1548323288190898
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-综合净价(5-7年)指数,5-7年,净价,综合,21,13,0.0007812608269976337,0.00588160852508545,-0.0053420242231618,-0.0043789574860233,-0.0026514627778546,-0.0006709726891995,0.002822861202161,0.0073259735015835,0.0197640736129772,0.38095238095238093,0.15483156786195812,0.41616193222119274,0.6580491745093026,0.01618651555456596,0.021644163423023555,0.030918466542279033,0.03957632878246731,6,6,1,0.19352346203404103,0.6516449701040009,0.15483156786195812
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-综合财富(5-7年)指数,5-7年,财富,综合,21,13,0.0010835845830055428,0.005867085383015839,-0.0051610114934248,-0.0039460132137818,-0.0031671724412121,-0.0004701614431519,0.003468989198745,0.0074414659732605,0.0194073642315903,0.38095238095238093,0.16131146086387207,0.42812184361315253,0.6671618290297587,0.022654272914045537,0.027959584142581706,0.036791219242325646,0.04476617319891063,6,6,1,0.15680631734590744,0.6818822217902205,0.16131146086387207
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,11,7,-0.00018645169976625462,0.003970369133715759,-0.0046998103136441,-0.0045066209667417,-0.00333245162857035,-0.0007916309272042,0.00174244697075435,0.0057096968407845,0.0072178606740126,0.36363636363636365,0.2545471139426716,0.696156079843324,0.9234364619822149,-0.00212761395009331,0.0025843422820619466,0.010809477178669091,0.015065460589973823,3,4,0,0.1403903282612457,0.8596096717387541,0.0
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合净价(3-5年)指数,3-5年,净价,新综合,11,6,0.00017201116529612733,0.0036482365226592544,-0.004011598515659,-0.003672640788757,-0.0024310509922818996,-0.0003899650318157,0.001883745440171,0.0050420773358622,0.007445771797961,0.45454545454545453,0.27369166913017107,0.6923409950365981,0.9733946006701755,0.0018272152695661958,0.005862331103980267,0.012063494710530476,0.016245729249606544,2,4,0,0.14402473840441732,0.8559752615955827,0.0
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合财富(3-5年)指数,3-5年,财富,新综合,11,6,0.00017206772574770903,0.003648660280102992,-0.0040123103406073,-0.0036732956028904,-0.0024309744854739,-0.0003890747033306,0.00188392373151285,0.0050425401945949,0.0074465936363852,0.45454545454545453,0.2737154136146297,0.6923910569578713,0.9734577501966099,0.0018278230117119154,0.005863660176679941,0.012065788709807679,0.016248607995772657,2,4,0,0.14401955688704454,0.8559804431129555,0.0
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-综合全价(3-5年)指数,3-5年,全价,综合,11,9,-0.0025044314831908546,0.0035942783725568923,-0.0065575956776759,-0.0065334237705478,-0.0051033963897547,-0.0029210330466205,-0.0008233924045114,0.0020270874339224,0.004794419234935,0.18181818181818182,0.19079276724372166,0.5322191250106508,0.7998811479964565,-0.027269402073639815,-0.020848522577504136,-0.0092558983906611,-7.79966296803325e-05,2,3,4,0.04791308372945289,0.2742387712886655,0.6778481449818818
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-综合净价(3-5年)指数,3-5年,净价,综合,11,9,-0.0025015372711587546,0.003590747181285008,-0.0065485190129841,-0.0065263639797408,-0.00509545321931865,-0.0029170271585576,-0.0008252952539451,0.0020220599634512,0.0047974177638234,0.18181818181818182,0.19071659687349546,0.5320443403720636,0.7995789795773596,-0.02723823125448066,-0.020826092302908328,-0.00924809978368435,-8.362618867663318e-05,2,4,3,0.04807117515767342,0.41988448447026294,0.5320443403720635
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-综合财富(3-5年)指数,3-5年,财富,综合,11,7,-0.00018633381763218183,0.003970668162609159,-0.0047000195686572,-0.0045065999883699,-0.0033328253417239002,-0.0007918454954607,0.001742926766715,0.0057095820028765,0.0072188950945426,0.36363636363636365,0.25455041705548503,0.6961683216123987,0.9234492471228798,-0.002126331571274731,0.002585841503048192,0.010811417076282526,0.015067553959366542,3,4,0,0.14036676862505798,0.8596332313749422,0.0
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,11,6,1.7919358305963576e-05,0.004749600811602729,-0.0062340768238868,-0.0045900718446028,-0.0035137397383391,-0.0015224305966532,0.0029452410956132997,0.0068083978827723,0.0081674314313728,0.45454545454545453,0.28544813812995246,0.6723855472538568,0.9302904036117121,8.447599165650743e-05,0.006358190262098162,0.014916824785232707,0.02065775298032757,1,4,1,0.0697095963882879,0.6448422654817596,0.28544813812995246
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合净价(5-7年)指数,5-7年,净价,新综合,11,8,-0.002577850262265491,0.004687736669445683,-0.0086882689404461,-0.007297528879828,-0.006040690515066,-0.0039629143908115,0.00025891550227190004,0.0039373023822686,0.0056779669118333,0.2727272727272727,0.2245149728717314,0.5810571251805173,0.8528536832499845,-0.02810087233864389,-0.01958274354067102,-0.005914045142014435,0.004624888238889291,2,2,4,0.04474000048094814,0.22997145914596726,0.7252885403730845
