months_before_quarter_end,n_months,mean_error_raw,mae_raw,rmse_raw,corr_raw
0,4,-1.518019756954441,1.8632202262412176,3.199835244596498,0.9915596667801406
1,4,-2.4679779259495858,3.9820060299334044,6.0821701981399805,0.32190312375094543
2,4,-1.4662641527292508,5.197867477984335,7.038749122700942,-0.34755794321605815
