month,sample,information_date,target_quarter_end,target_gdp_release_date,target_gdp_released_by_information_date,monthly_release_lag_days,gdp_release_lag_days,latest_released_monthly_period,latest_released_gdp_quarter_end,is_information_month_quarter_end,months_before_quarter_end,model_loading_gdp_raw,nowcast_gdp_raw,actual_gdp_raw,nowcast_error_raw,abs_error_raw,squared_error_raw,macro_S_target_nowcast,real_S_target_nowcast,nominal_S_target_nowcast
2019-01,post_train_1y,2019-01-19,2019-03,2019-04-19,False,19,19,2019-01,2019-01,False,2,6.0093938871779695,6.0093938871779695,6.4,-0.39060611282203084,0.39060611282203084,0.15257313537393707,-19.77217606132882,29.301948887571058,-1.3902997845915779
2019-02,post_train_1y,2019-02-19,2019-03,2019-04-19,False,19,19,2019-02,2019-01,False,1,6.0820818843226405,6.0820818843226405,6.4,-0.31791811567735984,0.31791811567735984,0.10107192827584315,-19.612212505928447,27.682489557085937,-2.381883909795779
2019-03,post_train_1y,2019-03-19,2019-03,2019-04-19,False,19,19,2019-03,2019-01,True,0,5.922229307775696,5.922229307775696,6.4,-0.4777706922243041,0.4777706922243041,0.22826483434849074,-21.344779691091652,29.888495151035748,-2.8666980407660647
2019-04,post_train_1y,2019-04-19,2019-06,2019-07-19,False,19,19,2019-04,2019-04,False,2,6.16283896538667,6.16283896538667,6.1,0.06283896538667033,0.06283896538667033,0.003948735570867152,-19.34220382717661,25.973848478514558,-0.4813307026086198
2019-05,post_train_1y,2019-05-19,2019-06,2019-07-19,False,19,19,2019-05,2019-04,False,1,6.119885448029922,6.119885448029922,6.1,0.01988544802992198,0.01988544802992198,0.000395431043350728,-17.609236200323267,28.724797502554658,1.179534500036011
2019-06,post_train_1y,2019-06-19,2019-06,2019-07-19,False,19,19,2019-06,2019-04,True,0,6.0033720298818585,6.0033720298818585,6.1,-0.09662797011814117,0.09662797011814117,0.009336964609152383,-19.69606371134144,29.523838257774784,1.6554732115497668
2019-07,post_train_1y,2019-07-19,2019-09,2019-10-19,False,19,19,2019-07,2019-07,False,2,6.296973802246106,6.296973802246106,6.0,0.29697380224610637,0.29697380224610637,0.08819343922050948,-15.955999901136487,26.019675919147282,2.408028793587101
2019-08,post_train_1y,2019-08-19,2019-09,2019-10-19,False,19,19,2019-08,2019-07,False,1,6.092891912500615,6.092891912500615,6.0,0.09289191250061535,0.09289191250061535,0.008628907408021977,-17.728965456106508,29.2669845997091,2.3118662301983908
2019-09,post_train_1y,2019-09-19,2019-09,2019-10-19,False,19,19,2019-09,2019-07,True,0,5.852536690735344,5.852536690735344,6.0,-0.14746330926465578,0.14746330926465578,0.021745427579283515,-21.839547389047237,31.10608690211027,2.3058837002559267
2019-10,post_train_1y,2019-10-19,2019-12,2020-01-19,False,19,19,2019-10,2019-10,False,2,5.974223420978734,5.974223420978734,5.9,0.07422342097873358,0.07422342097873358,0.005509116221786308,-18.23542341764565,31.67006627817406,2.713176614292886
2019-11,post_train_1y,2019-11-19,2019-12,2020-01-19,False,19,19,2019-11,2019-10,False,1,5.711077630476286,5.711077630476286,5.9,-0.18892236952371455,0.18892236952371455,0.03569166170645495,-23.876493529521255,32.56376285350262,5.87929134697793
2019-12,post_train_1y,2019-12-19,2019-12,2020-01-19,False,19,19,2019-12,2019-10,True,0,5.781186451996099,5.781186451996099,5.9,-0.1188135480039012,0.1188135480039012,0.014116659189275335,-19.695679706076962,34.95440947460849,8.156663706614129
