month,sample,information_date,target_quarter_end,target_gdp_release_date,target_gdp_released_by_information_date,monthly_release_lag_days,gdp_release_lag_days,latest_released_monthly_period,latest_released_gdp_quarter_end,is_information_month_quarter_end,months_before_quarter_end,model_loading_gdp_raw,nowcast_gdp_raw,actual_gdp_raw,nowcast_error_raw,abs_error_raw,squared_error_raw,macro_S_target_nowcast,real_S_target_nowcast,nominal_S_target_nowcast
2020-01,post_train_1y,2020-01-19,2020-03,2020-04-19,False,19,19,2020-01,2020-01,False,2,6.095140968319227,6.095140968319227,-6.8,12.895140968319227,12.895140968319227,166.28466059282493,-188.62448276783743,76.51134159258592,719.3416412518668
2020-02,post_train_1y,2020-02-19,2020-03,2020-04-19,False,19,19,2020-02,2020-01,False,1,5.925992764243254,5.925992764243254,-6.8,12.725992764243255,12.725992764243255,161.9508918355717,-242.69387624474734,78.95259769464465,782.9501812354815
2020-03,post_train_1y,2020-03-19,2020-03,2020-04-19,False,19,19,2020-03,2020-01,True,0,1.9585834187059898,1.9585834187059898,-6.8,8.758583418705989,8.758583418705989,76.71278350243149,-347.0079642093451,331.2927784527394,942.7872420365663
2020-04,post_train_1y,2020-04-19,2020-06,2020-07-19,False,19,19,2020-04,2020-04,False,2,-6.890071268557569,-6.890071268557569,3.2,-10.090071268557569,10.090071268557569,101.80953820457096,-466.6540362968676,913.0375322569844,1264.791601000697
2020-05,post_train_1y,2020-05-19,2020-06,2020-07-19,False,19,19,2020-05,2020-04,False,1,-3.4562638952638194,-3.4562638952638194,3.2,-6.65626389526382,6.65626389526382,44.305849043392676,-302.98792662180836,706.9356777744276,473.2424499896679
2020-06,post_train_1y,2020-06-19,2020-06,2020-07-19,False,19,19,2020-06,2020-04,True,0,-0.7176825577985069,-0.7176825577985069,3.2,-3.917682557798507,3.917682557798507,15.348236623678652,-189.00020577274057,539.7896998015681,140.75810790392052
2020-07,post_train_1y,2020-07-19,2020-09,2020-10-19,False,19,19,2020-07,2020-07,False,2,4.834423828845754,4.834423828845754,4.9,-0.06557617115424641,0.06557617115424641,0.004300234223251019,87.55390434578914,208.54305434385375,-1000.9373761881523
2020-08,post_train_1y,2020-08-19,2020-09,2020-10-19,False,19,19,2020-08,2020-07,False,1,5.581309066459869,5.581309066459869,4.9,0.6813090664598684,0.6813090664598684,0.4641820440404174,67.03351987847486,154.3078461729679,-600.6518720782312
2020-09,post_train_1y,2020-09-19,2020-09,2020-10-19,False,19,19,2020-09,2020-07,True,0,5.664279950685756,5.664279950685756,4.9,0.764279950685756,0.764279950685756,0.5841238430202217,9.280211199041837,138.98497936066025,-324.2435185140641
2020-10,post_train_1y,2020-10-19,2020-12,2021-01-19,False,19,19,2020-10,2020-10,False,2,9.131541728648298,9.131541728648298,6.5,2.6315417286482976,2.6315417286482976,6.92501186961727,90.09554817665529,-83.27869041067832,-668.7926507431075
2020-11,post_train_1y,2020-11-19,2020-12,2021-01-19,False,19,19,2020-11,2020-10,False,1,8.661110439796833,8.661110439796833,6.5,2.1611104397968326,2.1611104397968326,4.670398332998859,72.64881123344644,-54.208813840943115,-510.23916040956374
2020-12,post_train_1y,2020-12-19,2020-12,2021-01-19,False,19,19,2020-12,2020-10,True,0,7.9798744757110605,7.9798744757110605,6.5,1.4798744757110605,1.4798744757110605,2.190028463861086,64.13105232804062,-9.305492618051865,-420.2996274152847
