n_obs,mean_error_raw,mae_raw,rmse_raw,corr_raw,summary_type,calendar_year
12.0,0.20946547333715948,0.6510763414657438,0.866438030757874,0.023958384747790145,filter_monthly_by_year,2005
24.0,-0.2706612242296627,0.5671541377837506,0.6909079970118837,0.5017945073194037,filter_monthly_by_year,2006
36.0,-1.2771544907214276,1.356080041095443,1.5594760935198109,0.2033491201805213,filter_monthly_by_year,2007
48.0,0.4529731066658291,0.6730571889878777,0.8221775487718461,0.9231872302949069,filter_monthly_by_year,2008
60.0,-0.28221089914047787,0.6531482611041466,0.8478480961597893,0.9390094810134116,filter_monthly_by_year,2009
72.0,0.16775106560516903,0.46803747163633347,0.6236008988188415,0.8476823072129457,filter_monthly_by_year,2010
84.0,0.14419666798330583,0.3818007357505044,0.46720032435756986,0.7151939375940034,filter_monthly_by_year,2011
96.0,0.23453681621830014,0.4043811096512391,0.5051830128372442,0.18053018781043378,filter_monthly_by_year,2012
108.0,0.23490230297861853,0.3575790891366929,0.46188693676045656,0.3309893841082547,filter_monthly_by_year,2013
120.0,0.12290058013587174,0.27833898951575325,0.35987683424143624,0.041819917284608155,filter_monthly_by_year,2014
120.0,-0.15034971564451988,0.34305262056946456,0.41411851437937824,0.4152521544387585,filter_monthly_by_year,2015
108.0,-0.041709008166920566,0.2682319614731698,0.33596316343469046,0.1404018880194315,filter_monthly_by_year,2016
96.0,0.0049413582534493655,0.28119855534501437,0.3308964422517971,0.06855177765253972,filter_monthly_by_year,2017
84.0,-0.17303063142779246,0.2934102167686083,0.33836774053422397,0.4525230746161083,filter_monthly_by_year,2018
72.0,-0.05130987800068219,0.21369103004354126,0.26479464156529964,0.2624749108538149,filter_monthly_by_year,2019
60.0,-0.06217061864130348,0.7012395074247526,0.8507788253891325,0.6966009343741995,filter_monthly_by_year,2020
48.0,0.1678440677819677,0.7166990684247865,0.8233046093743567,0.8380034824213164,filter_monthly_by_year,2021
36.0,0.16640772434972073,0.8280286209185006,0.9159473272942122,0.2624900556402204,filter_monthly_by_year,2022
24.0,0.28846081043062827,0.41452243208456263,0.5392875595049141,0.5188119112596322,filter_monthly_by_year,2023
12.0,-0.33215688137391614,0.41861145986146236,0.5204066466345233,0.25003302874747907,filter_monthly_by_year,2024
