train_window,forecast_year,calendar_year,month,information_date,target_quarter_end,months_before_quarter_end,latest_released_monthly_period,latest_released_gdp_quarter_end,bridge_gdp_raw,actual_gdp_raw,bridge_nowcast_error_raw,bridge_abs_error_raw,bridge_squared_error_raw,model_loading_gdp_raw,macro_S_target_nowcast,real_S_target_nowcast,nominal_S_target_nowcast
200501_201412,2015,2015,2015-06,2015-06-19,2015-06,0,2015-06,2015-04,6.8857679231843365,7.1,-0.2142320768156631,0.2142320768156631,0.0458953827367521,6.8857679231843365,-156.96994173783364,11.651805615987003,224.9971368172903
200501_201412,2015,2015,2015-07,2015-07-19,2015-09,2,2015-07,2015-07,7.373840289287047,7.0,0.3738402892870471,0.3738402892870471,0.1397565618942231,7.373840289287047,-140.42346169691422,0.6914373619976704,213.04664438832265
200501_201412,2015,2015,2015-08,2015-08-19,2015-09,1,2015-08,2015-07,7.2575301873509055,7.0,0.2575301873509055,0.2575301873509055,0.0663217973969924,7.2575301873509055,-140.7321026931587,7.694196263735517,215.40501314810007
200501_201412,2015,2015,2015-09,2015-09-19,2015-09,0,2015-09,2015-07,7.176291180709336,7.0,0.1762911807093363,0.1762911807093363,0.0310785803958918,7.176291180709336,-143.15583519605863,9.91770468788426,223.734884055664
200501_201412,2015,2015,2015-10,2015-10-19,2015-12,2,2015-10,2015-10,7.028306117725015,6.9,0.1283061177250148,0.1283061177250148,0.0164624598456653,7.028306117725015,-140.4518832223735,22.568636287210847,208.7607561789077
200501_201412,2015,2015,2015-11,2015-11-19,2015-12,1,2015-11,2015-10,6.962228715867143,6.9,0.0622287158671426,0.0622287158671426,0.0038724130784735,6.962228715867143,-149.97385834062655,15.25521623278502,205.46011559362205
200501_201412,2015,2015,2015-12,2015-12-19,2015-12,0,2015-12,2015-10,6.937178667165453,6.9,0.0371786671654525,0.0371786671654525,0.0013822532921995,6.937178667165453,-150.44456605886407,16.275059769906168,214.30769792524595
200601_201512,2016,2016,2016-01,2016-01-19,2016-03,2,2016-01,2016-01,6.863958165865039,6.8,0.0639581658650394,0.0639581658650394,0.0040906469808198,6.863958165865039,-90.15712048819148,8.585402343815858,9.723707384484468
200601_201512,2016,2016,2016-02,2016-02-19,2016-03,1,2016-02,2016-01,6.799936131142248,6.8,-6.3868857751892e-05,6.3868857751892e-05,4.079230990531414e-09,6.799936131142248,-90.0444255724504,4.865518314881463,11.70726221667716
200601_201512,2016,2016,2016-03,2016-03-19,2016-03,0,2016-03,2016-01,6.623568561136015,6.8,-0.1764314388639851,0.1764314388639851,0.0311280526196161,6.623568561136015,-95.18237114162903,4.301386888935976,14.377301503490868
200601_201512,2016,2016,2016-04,2016-04-19,2016-06,2,2016-04,2016-04,6.047607142323775,6.7,-0.652392857676225,0.652392857676225,0.4256164407469512,6.047607142323775,-117.44978174851008,12.213742935708456,16.215303849730276
200601_201512,2016,2016,2016-05,2016-05-19,2016-06,1,2016-05,2016-04,6.523631374978933,6.7,-0.1763686250210669,0.1763686250210669,0.0311058918918217,6.523631374978933,-100.32624161309428,7.949523444247433,16.751780227652535
200601_201512,2016,2016,2016-06,2016-06-19,2016-06,0,2016-06,2016-04,6.392239111188106,6.7,-0.3077608888118943,0.3077608888118943,0.0947167646822872,6.392239111188106,-108.16365549801807,14.655636401070776,16.39229525942917
200601_201512,2016,2016,2016-07,2016-07-19,2016-09,2,2016-07,2016-07,6.557337334339792,6.7,-0.1426626656602083,0.1426626656602083,0.0203526361732763,6.557337334339792,-110.9555182208244,28.69381428287334,13.235997140641835
200601_201512,2016,2016,2016-08,2016-08-19,2016-09,1,2016-08,2016-07,6.609225234868523,6.7,-0.0907747651314769,0.0907747651314769,0.0082400579846748,6.609225234868523,-109.26343105510864,28.539005259080525,14.304615209960495
200601_201512,2016,2016,2016-09,2016-09-19,2016-09,0,2016-09,2016-07,6.535163921197205,6.7,-0.1648360788027956,0.1648360788027956,0.0271709328750814,6.535163921197205,-110.61927686282776,26.87723878707743,13.647605360141064
200601_201512,2016,2016,2016-10,2016-10-19,2016-12,2,2016-10,2016-10,6.891809424742251,6.8,0.0918094247422507,0.0918094247422507,0.008428970471503,6.891809424742251,-102.23598366159968,31.584169650070685,12.703118366965487
200601_201512,2016,2016,2016-11,2016-11-19,2016-12,1,2016-11,2016-10,6.953418922127206,6.8,0.1534189221272059,0.1534189221272059,0.0235373656666736,6.953418922127206,-102.60505901032542,35.62708774293634,15.338032122645798
200601_201512,2016,2016,2016-12,2016-12-19,2016-12,0,2016-12,2016-10,6.802524296424317,6.8,0.0025242964243172,0.0025242964243172,6.37207243782103e-06,6.802524296424317,-106.10457361061356,33.5513555670059,17.138884496537134
200701_201612,2017,2017,2017-01,2017-01-19,2017-03,2,2017-01,2017-01,7.781814369468358,7.0,0.7818143694683579,0.7818143694683579,0.611233708307206,7.781814369468358,-38.34180754863545,4.851809703137572,-0.916438404302405
200701_201612,2017,2017,2017-02,2017-02-19,2017-03,1,2017-02,2017-01,7.434110352276452,7.0,0.434110352276452,0.434110352276452,0.1884517979535852,7.434110352276452,-36.964498558270776,9.08951501802577,0.0253815370314866
200701_201612,2017,2017,2017-03,2017-03-19,2017-03,0,2017-03,2017-01,8.262530030176528,7.0,1.262530030176528,1.262530030176528,1.5939820770975444,8.262530030176528,-36.92549003320941,-0.212223696313945,-4.264198801419515
200701_201612,2017,2017,2017-04,2017-04-19,2017-06,2,2017-04,2017-04,7.663101991199442,7.0,0.6631019911994418,0.6631019911994418,0.4397042507326646,7.663101991199442,-36.82296511962552,6.5496255051530055,-8.009699923316228
