n_obs,mean_error_raw,mae_raw,rmse_raw,corr_raw,summary_type,calendar_year
12.0,0.3264839334174188,0.3316253383417986,0.47245527663732667,0.8186650171074675,smoother_monthly_by_year,2005
24.0,-0.02195104398282181,0.22576542136056252,0.29919538118343597,0.9295568661043615,smoother_monthly_by_year,2006
36.0,-0.7324445689016624,0.7358960344254206,0.9436630365731262,0.34836955121589935,smoother_monthly_by_year,2007
48.0,-0.156898202733145,0.40172178688418386,0.5753792789662128,0.9758019810189762,smoother_monthly_by_year,2008
60.0,0.18263525980792583,0.3862471443393949,0.5358976982293429,0.9715245807931915,smoother_monthly_by_year,2009
72.0,0.05206070389589352,0.25199974285801285,0.3282879096296621,0.942891352320606,smoother_monthly_by_year,2010
84.0,-0.01579591705272983,0.21887593216761836,0.2748381767536717,0.8720601363293505,smoother_monthly_by_year,2011
96.0,0.20028880641424582,0.29132429554365563,0.36824751484373,0.5144389242183535,smoother_monthly_by_year,2012
108.0,0.16255639119881796,0.20139602223807035,0.2871145369664853,0.23440895226136546,smoother_monthly_by_year,2013
120.0,0.051581440348398844,0.15056826804635792,0.1980104050901562,0.4352341435107769,smoother_monthly_by_year,2014
120.0,-0.18550629653317063,0.23507262133340776,0.28825393594242577,0.5380248293360527,smoother_monthly_by_year,2015
108.0,-0.0023993828351047027,0.19409252237124072,0.2745877018824935,0.19212060094452835,smoother_monthly_by_year,2016
96.0,0.03172097498646639,0.16979155836669868,0.20119671882897391,0.2542238747406465,smoother_monthly_by_year,2017
84.0,-0.18009808776241337,0.23602252141238408,0.2781145384299431,0.6743935081248843,smoother_monthly_by_year,2018
72.0,-0.051882052700928605,0.18059618798592447,0.21327492483444718,0.540669387054968,smoother_monthly_by_year,2019
60.0,-0.14873184478467527,0.4941973360151678,0.6232360234370227,0.8664029998050656,smoother_monthly_by_year,2020
48.0,0.031519990290783985,0.4011750574681354,0.49652153394570603,0.9647307491277264,smoother_monthly_by_year,2021
36.0,0.0872435418412128,0.3480993280100098,0.4359368515742276,0.7983034455927184,smoother_monthly_by_year,2022
24.0,0.26776984693630296,0.3567980250143967,0.41717314867271527,0.246160834783891,smoother_monthly_by_year,2023
12.0,-0.360946272845678,0.360946272845678,0.5038463716602948,0.3854291160969356,smoother_monthly_by_year,2024
