month,sample,information_date,release_calendar_mode,target_quarter_end,target_gdp_release_date,target_gdp_released_by_information_date,monthly_release_lag_days,gdp_release_lag_days,latest_released_monthly_period,latest_released_gdp_quarter_end,is_information_month_quarter_end,months_before_quarter_end,model_loading_gdp_std,model_loading_gdp_raw,actual_gdp_raw,actual_gdp_std,macro_S_target_nowcast,real_S_target_nowcast,nominal_S_target_nowcast,nowcast_gdp_std,nowcast_gdp_raw,nowcast_error_raw,abs_error_raw,squared_error_raw
2014-01,train_diagnostics,2014-01-19,monthly_19th_information_set,2014-03,2014-04-19,False,19,19,2014-01,2014-01,False,2,1.411411420513532,7.736100504003606,7.6,1.3010296303345263,53.44565661397692,-50.83421164022258,-3.511096531667281,1.411411420513532,7.736100504003606,0.13610050400360674,0.13610050400360674,0.018523347190035774
2014-02,train_diagnostics,2014-02-19,monthly_19th_information_set,2014-03,2014-04-19,False,19,19,2014-02,2014-01,False,1,1.349857902831463,7.6602051523687145,7.6,1.3010296303345263,53.5385804305433,-54.99256331919116,-3.5324049535243813,1.349857902831463,7.6602051523687145,0.06020515236871482,0.06020515236871482,0.0036246603717401678
2014-03,train_diagnostics,2014-03-19,monthly_19th_information_set,2014-03,2014-04-19,False,19,19,2014-03,2014-01,True,0,1.3382359587734673,7.645875320960564,7.6,1.3010296303345263,51.4576522109768,-50.2580164653192,-3.063695836821516,1.3382359587734673,7.645875320960564,0.04587532096056446,0.04587532096056446,0.0021045450732348047
2014-04,train_diagnostics,2014-04-19,monthly_19th_information_set,2014-06,2014-07-19,False,19,19,2014-04,2014-04,False,2,1.3544519019649084,7.665869543174844,7.7,1.3821327761216142,53.005160554762725,-53.297377304738006,-4.9118417094116555,1.3544519019649084,7.665869543174844,-0.034130456825156585,0.034130456825156585,0.0011648880830938777
2014-05,train_diagnostics,2014-05-19,monthly_19th_information_set,2014-06,2014-07-19,False,19,19,2014-05,2014-04,False,1,1.1711443716068894,7.439851762262572,7.7,1.3821327761216142,53.264628649529186,-65.63562499925348,-5.927176682547847,1.1711443716068894,7.439851762262572,-0.260148237737428,0.260148237737428,0.06767710559788936
2014-06,train_diagnostics,2014-06-19,monthly_19th_information_set,2014-06,2014-07-19,False,19,19,2014-06,2014-04,True,0,1.3048398621560768,7.604698007438026,7.7,1.3821327761216142,54.36223923495917,-60.02157071715153,-4.011605518706421,1.3048398621560768,7.604698007438026,-0.09530199256197402,0.09530199256197402,0.009082469786282552
2014-07,train_diagnostics,2014-07-19,monthly_19th_information_set,2014-09,2014-10-19,False,19,19,2014-07,2014-07,False,2,1.354540763522399,7.665979109279374,7.3,1.0577201929732645,50.04506334799813,-45.50568056995934,-2.3538650682652795,1.354540763522399,7.665979109279374,0.36597910927937427,0.36597910927937427,0.13394070842892417
2014-08,train_diagnostics,2014-08-19,monthly_19th_information_set,2014-09,2014-10-19,False,19,19,2014-08,2014-07,False,1,1.305522631982812,7.605539861129531,7.3,1.0577201929732645,52.443993877281464,-54.932528909044606,-3.712049668486554,1.305522631982812,7.605539861129531,0.3055398611295308,0.3055398611295308,0.09335460673905296
2014-09,train_diagnostics,2014-09-19,monthly_19th_information_set,2014-09,2014-10-19,False,19,19,2014-09,2014-07,True,0,1.2224878275798234,7.503158130313599,7.3,1.0577201929732645,54.17926883670944,-64.77671903561708,-4.671281455599058,1.2224878275798234,7.503158130313599,0.2031581303135992,0.2031581303135992,0.04127322591251735
2014-10,train_diagnostics,2014-10-19,monthly_19th_information_set,2014-12,2015-01-19,False,19,19,2014-10,2014-10,False,2,1.3260932435424655,7.630903379843904,7.4,1.1388233387603521,49.970211084752556,-47.117652969786775,-6.525009942287903,1.3260932435424655,7.630903379843904,0.23090337984390352,0.23090337984390352,0.05331637082333799
