month,sample,information_date,release_calendar_mode,target_quarter_end,target_gdp_release_date,target_gdp_released_by_information_date,monthly_release_lag_days,gdp_release_lag_days,latest_released_monthly_period,latest_released_gdp_quarter_end,is_information_month_quarter_end,months_before_quarter_end,model_loading_gdp_std,model_loading_gdp_raw,actual_gdp_raw,actual_gdp_std,macro_S_target_nowcast,real_S_target_nowcast,nominal_S_target_nowcast,nowcast_gdp_std,nowcast_gdp_raw,nowcast_error_raw,abs_error_raw,squared_error_raw
2009-01,train_diagnostics,2009-01-19,monthly_19th_information_set,2009-03,2009-04-19,False,19,19,2009-01,2009-01,False,2,-0.8120845678818243,6.786067861751234,6.4,-1.0698217180484324,-35.926193610335815,-5.537494024407753,-10.3958134307209,-0.8120845678818243,6.786067861751234,0.38606786175123364,0.38606786175123364,0.14904839387716964
2009-02,train_diagnostics,2009-02-19,monthly_19th_information_set,2009-03,2009-04-19,False,19,19,2009-02,2009-01,False,1,-0.7567686857249589,6.868926248023369,6.4,-1.0698217180484324,-34.56698888394084,-6.228280558140281,-10.397768751088691,-0.7567686857249589,6.868926248023369,0.4689262480233687,0.4689262480233687,0.21989182608527388
2009-03,train_diagnostics,2009-03-19,monthly_19th_information_set,2009-03,2009-04-19,False,19,19,2009-03,2009-01,True,0,-1.0441371395855719,6.438473267360676,6.4,-1.0698217180484324,-37.00060528946737,1.9029874387149688,-10.486390405130184,-1.0441371395855719,6.438473267360676,0.03847326736067558,0.03847326736067558,0.0014801923014060247
2009-04,train_diagnostics,2009-04-19,monthly_19th_information_set,2009-06,2009-07-19,False,19,19,2009-04,2009-04,False,2,0.2996883076888765,8.451407051492183,8.2,0.1318501025363902,8.103410346765878,-3.0165255913168996,-15.498138840761246,0.2996883076888765,8.451407051492183,0.25140705149218334,0.25140705149218334,0.06320550553999332
2009-05,train_diagnostics,2009-05-19,monthly_19th_information_set,2009-06,2009-07-19,False,19,19,2009-05,2009-04,False,1,0.6695862285292065,9.00548200449271,8.2,0.1318501025363902,18.957668474531832,-5.902972524258814,-15.68742787955619,0.6695862285292065,9.00548200449271,0.8054820044927116,0.8054820044927116,0.6488012595615966
2009-06,train_diagnostics,2009-06-19,monthly_19th_information_set,2009-06,2009-07-19,False,19,19,2009-06,2009-04,True,0,0.8467161687892552,9.27080726801842,8.2,0.1318501025363902,21.127558135077084,-10.257422506466384,-15.559881092475665,0.8467161687892552,9.27080726801842,1.0708072680184202,1.0708072680184202,1.1466282052410728
2009-07,train_diagnostics,2009-07-19,monthly_19th_information_set,2009-09,2009-10-19,False,19,19,2009-07,2009-07,False,2,1.2826965153280498,9.923867954244635,10.6,1.7340791966494884,35.38975261828165,-12.217667612021614,-13.976572327979248,1.2826965153280498,9.923867954244635,-0.6761320457553648,0.6761320457553648,0.4571545432973347
2009-08,train_diagnostics,2009-08-19,monthly_19th_information_set,2009-09,2009-10-19,False,19,19,2009-08,2009-07,False,1,1.2448708299321045,9.867208363376003,10.6,1.7340791966494884,31.29935708094642,-14.848252954164103,-15.404023343274543,1.2448708299321045,9.867208363376003,-0.7327916366239968,0.7327916366239968,0.5369835827060758
2009-09,train_diagnostics,2009-09-19,monthly_19th_information_set,2009-09,2009-10-19,False,19,19,2009-09,2009-07,True,0,1.206099036439745,9.809131584765781,10.6,1.7340791966494884,29.68468501340228,-15.013906276373232,-14.939984290562386,1.206099036439745,9.809131584765781,-0.7908684152342182,0.7908684152342182,0.6254728502150838
2009-10,train_diagnostics,2009-10-19,monthly_19th_information_set,2009-12,2010-01-19,False,19,19,2009-10,2009-10,False,2,1.3897331508240236,10.084199536122778,11.9,2.6019532892940833,30.553590193596392,-20.883579157989185,-10.272615925325201,1.3897331508240236,10.084199536122778,-1.8158004638772223,1.8158004638772223,3.2971313246167355
2009-11,train_diagnostics,2009-11-19,monthly_19th_information_set,2009-12,2010-01-19,False,19,19,2009-11,2009-10,False,1,1.6523916549155961,10.477639158543763,11.9,2.6019532892940833,38.81116282889997,-22.393152547706805,-10.136252606028393,1.6523916549155961,10.477639158543763,-1.4223608414562374,1.4223608414562374,2.0231103633080956
2009-12,train_diagnostics,2009-12-19,monthly_19th_information_set,2009-12,2010-01-19,False,19,19,2009-12,2009-10,True,0,1.7487500512712106,10.621975665790554,11.9,2.6019532892940833,43.11960835411926,-21.691333690769817,-8.30932248686188,1.7487500512712106,10.621975665790554,-1.2780243342094462,1.2780243342094462,1.6333461988314981
2010-01,train_diagnostics,2010-01-19,monthly_19th_information_set,2010-03,2010-04-19,False,19,19,2010-01,2010-01,False,2,1.9050300940671643,10.856069594111029,12.2,2.80223192605822,43.757176016457734,-26.78669804572773,0.49799098626805416,1.9050300940671643,10.856069594111029,-1.3439304058889707,1.3439304058889707,1.8061489358728935
2010-02,train_diagnostics,2010-02-19,monthly_19th_information_set,2010-03,2010-04-19,False,19,19,2010-02,2010-01,False,1,2.012119143441074,11.016479687425212,12.2,2.80223192605822,51.03936697936035,-23.558536310792334,-1.2342992417008767,2.012119143441074,11.016479687425212,-1.183520312574787,1.183520312574787,1.4007203302771216
2010-03,train_diagnostics,2010-03-19,monthly_19th_information_set,2010-03,2010-04-19,False,19,19,2010-03,2010-01,True,0,1.7443258817907885,10.61534864422914,12.2,2.80223192605822,31.6439299221835,-32.79447958444679,0.2925459682204812,1.7443258817907885,10.61534864422914,-1.584651355770859,1.584651355770859,2.5111199193464215
2010-04,train_diagnostics,2010-04-19,monthly_19th_information_set,2010-06,2010-07-19,False,19,19,2010-04,2010-04,False,2,1.9857453467077064,10.976974030966566,10.7,1.8008387422375338,34.07376709020872,-39.24731766514995,2.4470187540153754,1.9857453467077064,10.976974030966566,0.27697403096656714,0.27697403096656714,0.0767146138298689
2010-05,train_diagnostics,2010-05-19,monthly_19th_information_set,2010-06,2010-07-19,False,19,19,2010-05,2010-04,False,1,2.305876249317794,11.456502313836442,10.7,1.8008387422375338,47.33165089702959,-37.95232988661434,2.5014011733055135,2.305876249317794,11.456502313836442,0.7565023138364424,0.7565023138364424,0.5722957508398911
2010-06,train_diagnostics,2010-06-19,monthly_19th_information_set,2010-06,2010-07-19,False,19,19,2010-06,2010-04,True,0,2.1048972498183267,11.155453231298264,10.7,1.8008387422375338,41.66473412818876,-36.15765287491052,3.246483171916716,2.1048972498183267,11.155453231298264,0.4554532312982644,0.4554532312982644,0.20743764590003036
2010-07,train_diagnostics,2010-07-19,monthly_19th_information_set,2010-09,2010-10-19,False,19,19,2010-07,2010-07,False,2,1.2683189949490872,9.902331677668275,9.9,1.2667623775331687,13.600858017664116,-33.08041031949857,2.9717934276217077,1.2683189949490872,9.902331677668275,0.002331677668275134,0.002331677668275134,5.436720748732965e-06
2010-08,train_diagnostics,2010-08-19,monthly_19th_information_set,2010-09,2010-10-19,False,19,19,2010-08,2010-07,False,1,1.1108144383669862,9.666403534067634,9.9,1.2667623775331687,7.764575019254771,-33.043541328445734,4.139844214977822,1.1108144383669862,9.666403534067634,-0.23359646593236683,0.23359646593236683,0.05456730889609142
2010-09,train_diagnostics,2010-09-19,monthly_19th_information_set,2010-09,2010-10-19,False,19,19,2010-09,2010-07,True,0,1.215286618431346,9.822893784479204,9.9,1.2667623775331687,11.121410532566586,-33.57290758312581,4.881513471605959,1.215286618431346,9.822893784479204,-0.07710621552079644,0.07710621552079644,0.0059453684719395095
2010-10,train_diagnostics,2010-10-19,monthly_19th_information_set,2010-12,2011-01-19,False,19,19,2010-10,2010-10,False,2,1.516530001139499,10.274130203263478,9.9,1.2667623775331687,22.20797372148808,-33.71794811831713,5.224721553850613,1.516530001139499,10.274130203263478,0.3741302032634781,0.3741302032634781,0.13997340899397145
2010-11,train_diagnostics,2010-11-19,monthly_19th_information_set,2010-12,2011-01-19,False,19,19,2010-11,2010-10,False,1,1.764788154691082,10.645999351510104,9.9,1.2667623775331687,33.418492593954554,-31.801578953906052,8.371077847352506,1.764788154691082,10.645999351510104,0.745999351510104,0.745999351510104,0.5565150324534957
2010-12,train_diagnostics,2010-12-19,monthly_19th_information_set,2010-12,2011-01-19,False,19,19,2010-12,2010-10,True,0,1.9162556583495152,10.872884514259857,9.9,1.2667623775331687,38.53820581460667,-32.32085970110035,10.66694263253499,1.9162556583495152,10.872884514259857,0.9728845142598566,0.9728845142598566,0.9465042780866371
