variable,train_start,train_end,n_months,first_obs_in_window,last_obs_in_window,n_obs_in_window,missing_rate_in_window,coverage_rate_in_window,coverage_status,keep_for_training_window
GDP同比,2010-01,2019-12,120,2010-03,2019-12,40,0.6666666666666666,0.3333333333333333,后半段或少量参与,True
制造业PMI,2010-01,2019-12,120,2010-01,2019-12,120,0.0,1.0,基本完整参与,True
制造业PMI一阶差分,2010-01,2019-12,120,2010-01,2019-12,120,0.0,1.0,基本完整参与,True
服务业PMI,2010-01,2019-12,120,2012-02,2019-12,95,0.20833333333333334,0.7916666666666666,部分参与,True
服务业PMI一阶差分,2010-01,2019-12,120,2012-03,2019-12,94,0.21666666666666667,0.7833333333333333,部分参与,True
工业增加值,2010-01,2019-12,120,2010-01,2019-12,120,0.0,1.0,基本完整参与,True
用电量,2010-01,2019-12,120,2010-02,2019-12,106,0.11666666666666667,0.8833333333333333,部分参与,True
社零,2010-01,2019-12,120,2010-01,2019-12,113,0.058333333333333334,0.9416666666666667,基本完整参与,True
固投累计同比,2010-01,2019-12,120,2010-02,2019-12,110,0.08333333333333333,0.9166666666666666,基本完整参与,True
固投当月同比,2010-01,2019-12,120,2010-02,2019-12,109,0.09166666666666666,0.9083333333333333,基本完整参与,True
CPI,2010-01,2019-12,120,2010-01,2019-12,120,0.0,1.0,基本完整参与,True
PPI,2010-01,2019-12,120,2010-01,2019-12,120,0.0,1.0,基本完整参与,True
失业率差分,2010-01,2019-12,120,2018-02,2019-12,23,0.8083333333333333,0.19166666666666668,后半段或少量参与,False
逆回购7天(19日),2010-01,2019-12,120,2010-01,2019-12,120,0.0,1.0,基本完整参与,True
银行间7天回购(20-19均值),2010-01,2019-12,120,2010-01,2019-12,120,0.0,1.0,基本完整参与,True
