variable,train_start,train_end,n_months,first_obs_in_window,last_obs_in_window,n_obs_in_window,missing_rate_in_window,coverage_rate_in_window,coverage_status,keep_for_training_window
GDP同比,2011-01,2020-12,120,2011-03,2020-12,40,0.6666666666666666,0.3333333333333333,后半段或少量参与,True
制造业PMI,2011-01,2020-12,120,2011-01,2020-12,120,0.0,1.0,基本完整参与,True
制造业PMI一阶差分,2011-01,2020-12,120,2011-01,2020-12,120,0.0,1.0,基本完整参与,True
服务业PMI,2011-01,2020-12,120,2012-02,2020-12,107,0.10833333333333334,0.8916666666666667,部分参与,True
服务业PMI一阶差分,2011-01,2020-12,120,2012-03,2020-12,106,0.11666666666666667,0.8833333333333333,部分参与,True
工业增加值,2011-01,2020-12,120,2011-01,2020-12,120,0.0,1.0,基本完整参与,True
用电量,2011-01,2020-12,120,2011-02,2020-12,107,0.10833333333333334,0.8916666666666667,部分参与,True
社零,2011-01,2020-12,120,2011-01,2020-12,112,0.06666666666666667,0.9333333333333333,基本完整参与,True
固投累计同比,2011-01,2020-12,120,2011-02,2020-12,110,0.08333333333333333,0.9166666666666666,基本完整参与,True
固投当月同比,2011-01,2020-12,120,2011-02,2020-12,109,0.09166666666666666,0.9083333333333333,基本完整参与,True
CPI,2011-01,2020-12,120,2011-01,2020-12,120,0.0,1.0,基本完整参与,True
PPI,2011-01,2020-12,120,2011-01,2020-12,120,0.0,1.0,基本完整参与,True
失业率差分,2011-01,2020-12,120,2018-02,2020-12,35,0.7083333333333334,0.2916666666666667,后半段或少量参与,True
逆回购7天(19日),2011-01,2020-12,120,2011-01,2020-12,120,0.0,1.0,基本完整参与,True
银行间7天回购(20-19均值),2011-01,2020-12,120,2011-01,2020-12,120,0.0,1.0,基本完整参与,True
