variable,train_start,train_end,n_months,first_obs_in_window,last_obs_in_window,n_obs_in_window,missing_rate_in_window,coverage_rate_in_window,coverage_status,keep_for_training_window
GDP同比,2006-01,2015-12,120,2006-03,2015-12,40,0.6666666666666666,0.3333333333333333,后半段或少量参与,True
制造业PMI,2006-01,2015-12,120,2006-01,2015-12,120,0.0,1.0,基本完整参与,True
制造业PMI一阶差分,2006-01,2015-12,120,2006-01,2015-12,120,0.0,1.0,基本完整参与,True
服务业PMI,2006-01,2015-12,120,2012-02,2015-12,47,0.6083333333333333,0.39166666666666666,后半段或少量参与,True
服务业PMI一阶差分,2006-01,2015-12,120,2012-03,2015-12,46,0.6166666666666667,0.38333333333333336,后半段或少量参与,True
工业增加值,2006-01,2015-12,120,2006-01,2015-12,120,0.0,1.0,基本完整参与,True
用电量,2006-01,2015-12,120,2009-07,2015-12,67,0.44166666666666665,0.5583333333333333,部分参与,True
社零,2006-01,2015-12,120,2006-01,2015-12,117,0.025,0.975,基本完整参与,True
固投累计同比,2006-01,2015-12,120,2006-02,2015-12,110,0.08333333333333333,0.9166666666666666,基本完整参与,True
固投当月同比,2006-01,2015-12,120,2006-02,2015-12,109,0.09166666666666666,0.9083333333333333,基本完整参与,True
CPI,2006-01,2015-12,120,2006-01,2015-12,120,0.0,1.0,基本完整参与,True
PPI,2006-01,2015-12,120,2006-01,2015-12,120,0.0,1.0,基本完整参与,True
失业率差分,2006-01,2015-12,120,,,0,1.0,0.0,不参与训练,False
逆回购7天(19日),2006-01,2015-12,120,2006-01,2015-12,120,0.0,1.0,基本完整参与,True
银行间7天回购(20-19均值),2006-01,2015-12,120,2006-01,2015-12,120,0.0,1.0,基本完整参与,True
