month,nowcasting_GDP
2015-01,7.358259432421397
2015-02,7.008876973589286
2015-03,6.705922657979788
2015-04,6.694684343413422
2015-05,6.828817465499336
2015-06,6.925129690970177
2015-07,7.458847024877933
2015-08,7.308409788814623
2015-09,7.216429409277
2015-10,7.017585809774822
2015-11,6.972009998629622
2015-12,6.948918486255735
2016-01,6.863958165865039
2016-02,6.799936131142248
2016-03,6.623568561136015
2016-04,6.047607142323775
2016-05,6.523631374978933
2016-06,6.392239111188106
2016-07,6.557337334339792
2016-08,6.609225234868523
2016-09,6.535163921197205
2016-10,6.891809424742251
2016-11,6.953418922127206
2016-12,6.802524296424317
2018-01,6.967974346711351
2018-02,7.269744811457843
2018-03,7.275191060130854
2018-04,7.367642888438959
2018-05,6.990149974318663
2018-06,7.01881044096572
2018-07,6.924196458261887
2018-08,7.013489282223539
2018-09,7.120681702816979
2018-10,7.241820182582654
2018-11,7.043055099049143
2018-12,6.8500937804632525
2019-01,6.0093938871779695
2019-02,6.0820818843226405
2019-03,5.922229307775696
2019-04,6.16283896538667
2019-05,6.119885448029922
2019-06,6.0033720298818585
2019-07,6.296973802246106
2019-08,6.092891912500615
2019-09,5.852536690735344
2019-10,5.974223420978734
2019-11,5.711077630476286
2019-12,5.781186451996099
2020-04,-6.890071268557498
2020-05,-3.4562638952637625
2020-06,-0.7176825577984962
2020-07,4.834423828845662
2020-08,5.581309066459834
2020-09,5.66427995068574
2020-10,9.131541728648289
2020-11,8.66111043979681
2020-12,7.979874475711051
2021-04,11.34005877442308
2021-05,7.12917406512125
2021-06,7.777282729397831
2021-07,8.35919865339825
2021-08,7.278304263234621
2021-09,5.41378349446499
2021-10,5.863949222688838
2021-11,5.749751944733016
2021-12,5.1904009385735534
2022-01,4.481735972986646
2022-02,4.547362945388111
2022-03,5.920606199774243
2022-07,6.575776962143659
2022-08,4.914822655610393
2022-09,5.290797494691089
2022-10,4.726780428734635
2022-11,3.948178774224129
2022-12,3.2559221427232607
2023-01,2.586310946859919
2023-02,2.2218875617713767
2023-03,4.771538330191473
2023-07,3.714580318629704
2023-08,4.052159225027536
2023-09,4.8866820421135255
2023-10,7.632661420383458
2023-11,7.214273288852119
2023-12,6.7225385460492335
2024-01,4.777758933921067
2024-02,5.148031485219442
2024-03,5.045844611208604
2024-04,5.15896615097089
2024-05,4.838086357171658
2024-06,4.807269995079173
2024-07,4.4451683550659
2024-08,4.346410667791627
2024-09,4.2943997171921655
2024-10,4.53987094422958
2024-11,4.944621701451991
2024-12,4.689894526722498
2025-01,4.980286412286775
2025-02,4.660091393895507
2025-03,5.0425402549554486
2025-04,5.457053660326285
2025-05,5.126304030473294
2025-06,5.322682264977596
2025-07,4.779254866006481
2025-08,4.6282405235466655
2025-09,4.671335970707635
2025-10,4.651591281578889
2025-11,4.622567255993165
2025-12,4.325643477986
