month,逆回购7天_月末_较上月变动,MLF1Y_月末_较上月变动,LPR1Y_月末_较上月变动,DR007_月均_较上月变动,资金利差_DR007减逆回购_较上月变动,资金利差_DR007减MLF_较上月变动
1999-01,,,,,,
1999-02,,,,-0.008943181818182211,,
1999-03,,,,0.0175550239234461,,
1999-04,,,,-0.009936842105263466,,
1999-05,,,,-0.03530000000000033,,
1999-06,,,,-0.8977272727272725,,
1999-07,,,,-0.46724891774891786,,
1999-08,,,,-0.042432900432900045,,
1999-09,,,,-0.017662337662338157,,
1999-10,,,,0.008696428571428605,,
1999-11,,,,-0.01026136363636354,,
1999-12,0.0,,,-0.007435064935064961,-0.007435064935064961,
2000-01,0.0,,,-0.022978571428571293,-0.022978571428571293,
2000-02,-0.04999999999999982,,,-0.03770000000000007,0.012299999999999756,
2000-03,-0.040000000000000036,,,-0.05340217391304369,-0.013402173913043658,
2000-04,0.0,,,-0.03934782608695642,-0.03934782608695642,
2000-05,0.0,,,-0.026388888888889017,-0.026388888888889017,
2000-06,0.0,,,-0.02104292929292928,-0.02104292929292928,
2000-07,0.0,,,-0.011853896103895867,-0.011853896103895867,
2000-08,0.0,,,-0.032192546583850845,-0.032192546583850845,
2000-09,0.0,,,-0.020112648221343843,-0.020112648221343843,
2000-10,-0.08000000000000007,,,-0.0030757575757576205,0.07692424242424245,
2000-11,0.0,,,0.004757575757575516,0.004757575757575516,
2000-12,0.10000000000000009,,,0.1452424242424244,0.045242424242424306,
2001-01,0.0,,,0.04077777777777758,0.0,
2001-02,0.0,,,0.026338888888889134,0.06711666666666671,
2001-03,0.0,,,-0.025268181818181912,0.0,
2001-04,0.0,,,-0.07572529644268755,0.0,
2001-05,0.0,,,-0.03557757437070963,0.0,
2001-06,0.0,,,-0.031024401913875455,0.0,
2001-07,0.0,,,-0.04962272727272721,0.0,
2001-08,0.0,,,-0.004010079051383286,0.0,
2001-09,0.0,,,-0.03826719367588938,0.0,
2001-10,0.0,,,-0.07745454545454544,0.0,
2001-11,0.0,,,-0.04256363636363636,0.0,
2001-12,-0.3500000000000001,,,0.0011114624505927928,-0.028402173913043338,
2002-01,0.0,,,-0.003422826086956654,-0.003422826086956654,
2002-02,-0.17999999999999994,,,-0.05987794117647072,0.12012205882352922,
2002-03,0.0,,,-0.12155658263305313,-0.12155658263305313,
2002-04,0.0,,,-0.004302976190476038,-0.004302976190476038,
2002-05,0.0,,,-0.00012083333333356983,-0.00012083333333356983,
2002-06,0.0,,,0.00014333333333338416,0.00014333333333338416,
2002-07,0.0,,,-0.0014839130434780579,0.0,
2002-08,0.0,,,0.018446640316205354,0.0,
2002-09,0.0,,,0.20189683794466395,0.0,
2002-10,0.0,,,0.07293599033816411,0.0,
2002-11,0.0,,,-0.012600793650793474,0.0,
2002-12,0.0,,,0.06685432900432886,0.0,
2003-01,0.32999999999999985,,,-0.0196454545454543,-0.0035963636363633977,
2003-02,0.0,,,-0.032701871657753845,0.0,
2003-03,0.0,,,-0.20247366946778733,0.0,
2003-04,0.0,,,-0.08301428571428593,0.0,
2003-05,0.0,,,0.06801303258145364,0.0,
2003-06,0.0,,,0.1346488721804513,0.0,
2003-07,0.0,,,0.043605590062111954,0.0,
2003-08,-0.05999999999999961,,,0.010989648033126631,-0.0009326839826839795,
2003-09,0.3599999999999999,,,0.6895357142857139,0.32953571428571404,
2003-10,0.0,,,0.1759722222222222,0.0,
2003-11,1.1561,,,-0.38988888888888873,-1.3700166666666664,
2003-12,0.0,,,-0.5491739130434787,0.0,
2004-01,0.0,,,0.38061835748792294,0.0,
2004-02,0.0,,,-0.3131444444444442,0.0,
2004-03,0.0,,,-0.29825652173913064,0.0,
2004-04,0.0,,,0.1982792490118579,0.0,
2004-05,0.0,,,0.0685883838383834,0.0,
2004-06,0.0,,,0.23697070707070722,0.0,
2004-07,0.0,,,-0.07770909090909095,0.0,
2004-08,0.0,,,-0.057154545454545236,0.0,
2004-09,0.0,,,-0.14495454545454534,0.0,
2004-10,0.0,,,0.004664141414141287,0.0,
2004-11,0.0,,,-0.09902323232323207,0.0,
2004-12,0.0,,,-0.2051045454545457,0.0,
2005-01,0.0,,,0.004684999999999828,0.0,
2005-02,0.0,,,0.21871500000000021,0.0,
2005-03,0.0,,,-0.3539217391304348,0.0,
2005-04,0.0,,,-0.4209009881422925,0.0,
2005-05,0.0,,,-0.1384994949494951,0.0,
2005-06,0.0,,,-0.05036414141414136,0.0,
2005-07,0.0,,,0.09679588744588741,0.0,
2005-08,0.0,,,0.039990476190476354,0.0,
2005-09,0.0,,,-0.04248636363636371,0.0,
2005-10,0.0,,,-0.07092474747474764,0.0,
2005-11,0.0,,,0.06598838383838412,0.0,
2005-12,0.0,,,0.37782272727272725,0.0,
2006-01,0.0,,,0.1109888888888888,0.0,
2006-02,0.0,,,-0.28164999999999996,0.0,
2006-03,0.0,,,0.08995241545893706,0.0,
2006-04,0.0,,,0.20732687747035583,0.0,
2006-05,0.0,,,-0.0077904040404039865,0.0,
2006-06,0.0,,,0.2853267676767677,0.0,
2006-07,0.0,,,0.3281835497835499,0.0,
2006-08,0.0,,,0.1508706004140783,0.0,
2006-09,0.0,,,-0.2765905138339919,0.0,
2006-10,0.0,,,0.18057070707070677,0.0,
2006-11,0.0,,,0.8302747474747476,0.0,
2006-12,0.0,,,-1.0610288537549408,0.0,
2007-01,0.0,,,-0.4491497826086954,0.0,
2007-02,0.0,,,1.061238529411765,0.0,
2007-03,0.0,,,-1.048691711229947,0.0,
2007-04,0.0,,,1.2348116600790517,0.0,
2007-05,0.0,,,-0.4419101449275362,0.0,
2007-06,0.0,,,0.22670476190476174,0.0,
2007-07,0.0,,,-0.013119913419913143,0.0,
2007-08,0.0,,,-0.46834861660079063,0.0,
2007-09,0.0,,,2.0312258893280632,0.0,
2007-10,0.0,,,-0.522506565656566,0.0,
2007-11,0.0,,,-0.9224388888888888,0.0,
2007-12,0.0,,,0.3101357142857144,0.0,
2008-01,0.0,,,-0.13659935064935036,0.0,
2008-02,0.0,,,0.04780808080808052,0.0,
2008-03,0.0,,,-0.5179992063492063,0.0,
2008-04,0.0,,,0.5499666666666667,0.0,
2008-05,0.0,,,0.2825190476190471,0.0,
2008-06,0.0,,,0.020474047619047475,0.0,
2008-07,0.0,,,-0.2734767391304347,0.0,
2008-08,0.0,,,0.1481884057971019,0.0,
2008-09,0.0,,,-0.06482380952380984,0.0,
2008-10,0.0,,,-0.037527857142857,0.0,
2008-11,0.0,,,-0.4883250000000001,0.0,
2008-12,0.0,,,-1.1362204347826084,0.0,
2009-01,0.0,,,-0.5601578005115092,0.0,
2009-02,0.0,,,0.00196918767507015,0.0,
2009-03,0.0,,,0.0008372294372295253,0.0,
2009-04,0.0,,,-0.009661038961039092,0.0,
2009-05,0.0,,,0.0072060150375938825,0.0,
2009-06,0.0,,,0.06445502392344493,0.0,
2009-07,0.0,,,0.4976774703557316,0.0,
2009-08,0.0,,,-0.03688612836438954,0.0,
2009-09,0.0,,,0.11622960662525905,0.0,
2009-10,0.0,,,-0.07975089514066513,0.0,
2009-11,0.0,,,-0.08178823529411772,0.0,
2009-12,0.0,,,0.04286956521739116,0.0,
2010-01,0.0,,,-0.014649565217391025,0.0,
2010-02,0.0,,,0.3963564705882354,0.0,
2010-03,0.0,,,-0.21330690537084407,0.0,
2010-04,0.0,,,0.0031875776397514155,0.0,
2010-05,0.0,,,0.22741785714285712,0.0,
2010-06,0.0,,,0.826629761904762,0.0,
2010-07,0.0,,,-0.6693502164502165,0.0,
2010-08,0.0,,,-0.18544090909090905,0.0,
2010-09,0.0,,,0.5751636363636363,0.0,
2010-10,0.0,,,-0.4286772727272725,0.0,
2010-11,0.0,,,0.052036363636363214,0.0,
2010-12,0.0,,,1.9055418972332014,0.0,
2011-01,0.0,,,0.9251979296066257,0.0,
2011-02,0.0,,,-1.1232761904761905,0.0,
2011-03,0.0,,,-1.365217391304348,0.0,
2011-04,0.0,,,0.47058239130434787,0.0,
2011-05,0.0,,,0.8660730952380953,0.0,
2011-06,0.0,,,2.1762523809523815,0.0,
2011-07,0.0,,,-0.602495238095238,0.0,
2011-08,0.0,,,-1.3271387163561084,0.0,
2011-09,0.0,,,0.1575387163561075,0.0,
2011-10,0.0,,,-0.1696007936507935,0.0,
2011-11,0.0,,,-0.19772171717171672,0.0,
2011-12,0.0,,,0.13964901185770717,0.0,
2012-01,0.0,,,1.017207672634271,0.0,
2012-02,0.0,,,-0.7478103641456579,0.0,
2012-03,0.0,,,-1.0199233954451352,0.0,
2012-04,0.0,,,0.6765938215102976,0.0,
2012-05,-0.45610000000000017,,,-0.873094019138756,0.7166954545454542,
2012-06,0.0,,,0.17611454545454563,0.0,
2012-07,0.050000000000000266,,,0.35643545454545444,0.4825499999999998,
2012-08,0.04999999999999982,,,-0.0006498023715413304,-0.05064980237154115,
2012-09,-0.04999999999999982,,,0.012271014492753807,0.06227101449275363,
2012-10,0.0,,,-0.2777944444444449,-0.2777944444444449,
2012-11,0.0,,,-0.021531313131312846,-0.021531313131312846,
2012-12,0.0,,,0.09963528138528188,0.09963528138528188,
2013-01,0.0,,,-0.24733982683982747,-0.24733982683982747,
2013-02,0.0,,,0.34691069518716544,0.0,
2013-03,0.0,,,-0.24654229691876717,0.0,
2013-04,0.0,,,0.21605714285714273,0.0,
2013-05,0.0,,,0.20530627705627724,0.0,
2013-06,0.0,,,3.348173923444976,0.0,
2013-07,1.0500000000000003,,,-2.7814160183066363,0.038489723320157765,
2013-08,-0.5000000000000004,,,-0.05117608695652187,0.4488239130434786,
2013-09,0.0,,,-0.29474047619047594,-0.29474047619047594,
2013-10,0.19999999999999973,,,0.5019431077694239,0.3019431077694241,
2013-11,0.0,,0.010000000000000675,0.2254235588972433,0.2254235588972433,
2013-12,0.0,,0.0,0.8139329004329001,0.8139329004329001,
2014-01,0.0,,0.0,-0.5598181818181818,-0.5598181818181818,
2014-02,0.0,,0.02999999999999936,-0.6168262032085563,0.0,
2014-03,0.0,,0.0,-0.9515504201680671,0.0,
2014-04,0.0,,0.009999999999999787,0.2989809523809521,0.0,
2014-05,0.0,,0.0,-0.2723047619047616,0.0,
2014-06,0.0,,-0.009999999999999787,0.07572452380952388,0.0,
2014-07,0.0,,0.0,0.5461719565217389,0.0,
2014-08,0.0,,0.0,-0.3607012422360252,0.0,
2014-09,0.0,,0.0,-0.22912662337662315,0.0,
2014-10,0.0,,0.0,-0.19425909090909066,0.0,
2014-11,0.0,,-0.25,0.18178499999999964,0.0,
2014-12,0.0,,0.0,1.0760150000000004,0.0,
2015-01,-0.24999999999999956,,0.0,-0.3224999999999998,-0.5185909090909093,
2015-02,0.0,,0.0,0.6446352941176468,0.6446352941176468,
2015-03,-0.30000000000000027,,-0.20999999999999996,-0.1696352941176471,0.13036470588235316,
2015-04,-0.19999999999999973,,0.0,-1.5713476190476188,-1.371347619047619,
2015-05,0.0,,-0.25,-0.7891923809523811,0.0,
2015-06,-0.8500000000000001,,-0.25,0.3333019047619046,0.3941095238095236,
2015-07,0.0,,0.0,0.1112554865424431,0.1112554865424431,
2015-08,-0.1499999999999999,,-0.25,-0.09444120082815743,0.05555879917184248,
2015-09,0.0,,0.0,-0.061866666666666514,-0.061866666666666514,
2015-10,-0.10000000000000009,,-0.25,0.014812698412698388,0.11481269841269848,
2015-11,0.0,,0.0,-0.059326984126983895,-0.059326984126983895,
2015-12,0.0,,0.0,0.08896128364389178,0.08896128364389178,
2016-01,0.0,,0.0,0.04119347826086983,0.04119347826086983,
2016-02,0.0,,0.0,-0.07391666666666685,-0.07391666666666685,
2016-03,0.0,0.0,0.0,0.041549275362319005,0.041549275362319005,0.0
2016-04,0.0,0.0,0.0,0.03320239130434777,0.03320239130434777,0.0
2016-05,0.0,0.0,0.0,-0.06190880952380917,-0.06190880952380917,0.0
2016-06,0.0,0.0,0.0,0.0255857142857141,0.0255857142857141,0.0384285714285717
2016-07,0.0,0.0,0.0,0.013900000000000023,0.013900000000000023,0.013900000000000023
2016-08,0.0,0.0,0.0,0.010603312629399841,0.010603312629399841,0.010603312629399841
2016-09,0.0,0.0,0.0,0.03064906832298142,0.03064906832298142,0.03064906832298142
