month,quarter,nowcasting_GDP,actual_gdp_yoy,actual_gdp_lag1,actual_gdp_lag2,past2_actual_gdp_mean,gdp_gap_vs_lag2_avg,gdp_signal_direction,gdp_signal_abs,nowcasting_gdp_diff,actual_gdp_yoy_diff,中债-新综合财富(3-5年)指数,中债-新综合净价(3-5年)指数,中债-新综合全价(3-5年)指数,中债-综合财富(3-5年)指数,中债-综合净价(3-5年)指数,中债-综合全价(3-5年)指数,中债-新综合财富(5-7年)指数,中债-新综合净价(5-7年)指数,中债-新综合全价(5-7年)指数,中债-综合财富(5-7年)指数,中债-综合净价(5-7年)指数,中债-综合全价(5-7年)指数
2015-01,2015Q1,7.358259432421397,7.1,7.4,7.3,7.35,0.00825943242139715,1.0,0.00825943242139715,,,0.0126454513133553,0.0126451545362302,0.0134341459336697,0.0134352568285636,0.0176528277214775,0.0176754704026049,0.0191610227957323,0.0191808019650461,0.0144205435660837,0.0144199800901796,0.0148833066454991,0.0148830976335265
2015-02,2015Q1,7.008876973589286,7.1,7.4,7.3,7.35,-0.34112302641071324,-1.0,0.34112302641071324,-0.3493824588321104,0.0,0.0047097893432466,0.0047096229320879,0.0066932957106473,0.0066936312121816,0.0096687231538741,0.0096724552158107,0.0130264319731769,0.0130332389647853,0.0083280553047555,0.0083274928566476,0.0087935958662521,0.0087936999271667
2015-03,2015Q1,6.705922657979788,7.1,7.4,7.3,7.35,-0.6440773420202115,-1.0,0.6440773420202115,-0.30295431560949826,0.0,-0.0189298642712367,-0.0189335852278117,-0.0199918901423407,-0.019994926674015,-0.0129792569807133,-0.0130286770141324,-0.0168832499505355,-0.0169146190930624,-0.02174012544984,-0.0217408305310079,-0.0220466072150746,-0.0220472696344136
2015-04,2015Q2,6.694684343413422,7.1,7.1,7.4,7.25,-0.5553156565865782,-1.0,0.5553156565865782,-0.01123831456636637,0.0,0.0017209034594036,0.0017208548274112,0.0005736976604151,0.0005739343522279,0.0086566456089773,0.0086457171949045,0.0059973830246955,0.006014710377977,0.0006517776803636,0.0006518848413696,-0.0018998944703165,-0.0019001559381917
2015-05,2015Q2,6.828817465499336,7.1,7.1,7.4,7.25,-0.4211825345006641,-1.0,0.4211825345006641,0.1341331220859141,0.0,0.003904580751977,0.0039045496968495,0.0046799537696209,0.0046803323773048,0.0097981954281121,0.0098076047048918,0.0057443162883423,0.005744667560072,0.0007532648692849,0.0007533888063551,3.2484700608348405e-05,3.187370000823364e-05
2015-06,2015Q2,6.925129690970177,7.1,7.1,7.4,7.25,-0.32487030902982283,-1.0,0.32487030902982283,0.09631222547084128,0.0,-0.006729994662486,-0.0067295999747318,-0.00513265965091,-0.0051330034871196,-0.0007280160580221,-0.0007352866573522,-0.002216146912874,-0.0022264397585517,-0.0075974859575361,-0.0075977788023976,-0.0074077258523452,-0.0074073739300207
2015-07,2015Q3,7.458847024877933,7.0,7.1,7.1,7.1,0.3588470248779334,1.0,0.3588470248779334,0.5337173339077559,-0.09999999999999964,0.0065221808666173,0.006521207834192,0.0063605112545483,0.0063606250516135,0.0117701058981671,0.0117865663863216,0.0121271337097523,0.0121428692298761,0.0074610166919719,0.0074603211194228,0.0086667952505672,0.0086667030508105
2015-08,2015Q3,7.308409788814623,7.0,7.1,7.1,7.1,0.20840978881462302,1.0,0.20840978881462302,-0.1504372360633104,0.0,0.0029455836974183,0.0029453959019718,0.0040889829736534,0.004088259600828,0.008827060820602,0.0088453801924208,0.0127134886617812,0.0127423816294627,0.0074648643321661,0.0074651360633728,0.0071843913044649,0.0071845934508587
2015-09,2015Q3,7.216429409277,7.0,7.1,7.1,7.1,0.11642940927699996,1.0,0.11642940927699996,-0.09198037953762306,0.0,0.0020840087065252,0.0020828498205034,0.0013630659084593,0.0013625368887495,0.0083637954124049,0.0083879029358544,0.0133948888348658,0.0134216251683532,0.0083925691986221,0.0083929924477383,0.0088947270999004,0.0088946646451519
2015-10,2015Q4,7.017585809774822,6.9,7.0,7.1,7.05,-0.032414190225178,-1.0,0.032414190225178,-0.19884359950217778,-0.09999999999999964,0.009292021450552,0.0092915570343237,0.0081505106442492,0.0081517999309137,0.0152528545738972,0.0152882517041343,0.0197742159833449,0.0197900041041543,0.0152059765208112,0.0152075381113543,0.016398660651572,0.016399208932885
2015-11,2015Q4,6.972009998629622,6.9,7.0,7.1,7.05,-0.07799000137037826,-1.0,0.07799000137037826,-0.04557581114520026,0.0,-0.0003312390791553,-0.000331996833261,-0.0004807992112001,-0.0004807278037541,0.0060272791735607,0.0060532420448831,0.0078691999637316,0.0078935493345426,0.0029266716086546,0.0029271528904106,0.0025071378293088,0.0025072081124632
2015-12,2015Q4,6.948918486255735,6.9,7.0,7.1,7.05,-0.10108151374426466,-1.0,0.10108151374426466,-0.023091512373886403,0.0,0.0144829578164942,0.0144816225088941,0.0161230389979969,0.0161232520106311,0.0207898645797812,0.0208181105451112,0.0259095685203603,0.0258537740986208,0.0213295919269935,0.0212436954543273,0.0218287377092325,0.0220034804051767
2016-01,2016Q1,6.863958165865039,6.8,6.9,7.0,6.95,-0.08604183413496092,-1.0,0.08604183413496092,-0.0849603203906959,-0.10000000000000053,-0.0001301955556678,-0.0001295196767656,0.0005720368001389,0.0005723131604173,0.0058114196045231,0.0058147659918899,0.0069338141922741,0.0064155181978271,0.0024223981649338,0.00191725557766,0.0034000013838724,0.0033175338908513
2016-02,2016Q1,6.799936131142248,6.8,6.9,7.0,6.95,-0.15006386885775225,-1.0,0.15006386885775225,-0.06402203472279133,0.0,-0.0035871825754906,-0.0035866571695296,-0.0024422048653355,-0.0024430040272442,0.0022351333147778,0.0022334289870329,0.0011482660309725,0.0012988210239903,-0.0035546517352276,-0.0033644581003426,-0.0024159532010089,-0.0018178536658168
2016-03,2016Q1,6.623568561136015,6.8,6.9,7.0,6.95,-0.3264314388639855,-1.0,0.3264314388639855,-0.17636757000623327,0.0,0.0027204327819922,0.00271983904941,0.0028637063418808,0.0028633227457051,0.0086153912083424,0.0086275999534193,0.0090588451458164,0.0091587088111497,0.0046678343943167,0.0047959770672147,0.0054989995557408,0.0060316732334075
2016-04,2016Q2,6.047607142323775,6.7,6.8,6.9,6.85,-0.8023928576762245,-1.0,0.8023928576762245,-0.5759614188122395,-0.09999999999999964,-0.0146641176772673,-0.0146646505200124,-0.0149025826510703,-0.0149029404427786,-0.0087398806391292,-0.0087596951870787,-0.0081709943516599,-0.0077589615003439,-0.0129071374289505,-0.0124389880157824,-0.0136830131966318,-0.0125984837866225
2016-05,2016Q2,6.523631374978933,6.7,6.8,6.9,6.85,-0.32636862502106645,-1.0,0.32636862502106645,0.47602423265515803,0.0,-0.0036260504694605,-0.0036265079012014,-0.0024518839135915,-0.0024517456392856,0.0020782829277072,0.0020688861847573,0.0024622661119269,0.0021573699990156,-0.0021625772133726,-0.0024594734259045,-0.0021744075517848,-0.0019224297419497
2016-06,2016Q2,6.392239111188106,6.7,6.8,6.9,6.85,-0.4577608888118938,-1.0,0.4577608888118938,-0.13139226379082736,0.0,0.0027770368859532,0.0027784794139933,0.0028707832274916,0.0028712433586677,0.0080968180117546,0.0081123473373265,0.0108251390969253,0.0108850919700924,0.0064681863157258,0.0064831343672133,0.0061163563991164,0.0043411294275108
2016-07,2016Q3,6.557337334339792,6.7,6.7,6.8,6.75,-0.19266266566020818,-1.0,0.19266266566020818,0.16509822315168599,0.0,0.0070693135902406,0.0070687803233773,0.0074593120246162,0.0074583148005511,0.0116650546780208,0.0116834471693172,0.0147426243633583,0.014616871199462,0.0107503246150992,0.0105620173926603,0.0106139506540452,0.0109317226248022
2016-08,2016Q3,6.609225234868523,6.7,6.7,6.8,6.75,-0.1407747651314768,-1.0,0.1407747651314768,0.05188790052873138,0.0,0.0019343151802793,0.0019348332525523,0.0030735888089843,0.0030748433591563,0.0070777555383478,0.0070834021001811,0.0089050729162605,0.0083950899485367,0.0045863505280874,0.0040319946411828,0.0052842629706,0.0051650171878465
2016-09,2016Q3,6.535163921197205,6.7,6.7,6.8,6.75,-0.21483607880279543,-1.0,0.21483607880279543,-0.07406131367131863,0.0,-0.0024398437257278,-0.0024405600053715,-0.0024999888631999,-0.0025001073007425,0.0027584819057442,0.0027632212114847,0.0034903709622273,0.0032453960138862,-0.0004808718836856,-0.0007619061539908,0.0005601029636086,0.0006187124422212
2016-10,2016Q4,6.891809424742251,6.8,6.7,6.7,6.7,0.19180942474225038,1.0,0.19180942474225038,0.356645503545046,0.09999999999999964,0.0006620865853468,0.0006616493219557,0.0008881891396093,0.000887820714023,0.0062792434593501,0.0062840380808082,0.0085459172232653,0.0086562905879068,0.0044655870186383,0.0045386415918919,0.0056671994220343,0.0060725106447387
2016-11,2016Q4,6.953418922127206,6.8,6.7,6.7,6.7,0.2534189221272056,1.0,0.2534189221272056,0.06160949738495525,0.0,-0.0150194527594565,-0.0150197551528833,-0.0146008021714194,-0.0146009865072478,-0.0094542582345651,-0.009473072314819,-0.0116086808193575,-0.0117029510128621,-0.0159485516519312,-0.0160607083674207,-0.0167822762109395,-0.0163325655923414
2016-12,2016Q4,6.802524296424317,6.8,6.7,6.7,6.7,0.10252429642431693,1.0,0.10252429642431693,-0.1508946257028887,0.0,-0.0201100388372367,-0.0201098581359504,-0.0178600502474141,-0.0178606733863869,-0.0147313506115206,-0.0147382164112863,-0.0181372484415566,-0.0166818457241729,-0.02244058857849,-0.0209809708116046,-0.0218379419593675,-0.0221054557631957
2018-01,2018Q1,6.967974346711351,6.9,6.8,6.9,6.85,0.11797434671135143,1.0,0.11797434671135143,0.16545005028703397,0.10000000000000053,-0.000376662415264,-0.0003764756218925,0.0017728992335548,0.0017726290010904,0.0043395411187308,0.0043432602829642,0.0021391482014889,0.0021410504308641,-0.0025474160019194,-0.0025475644099328,-0.0009409342041012,-0.0009414014514195
2018-02,2018Q1,7.269744811457843,6.9,6.8,6.9,6.85,0.4197448114578437,1.0,0.4197448114578437,0.3017704647464923,0.0,0.0058143676691824,0.0058150706723243,0.0073668913929056,0.0073668153801278,0.0098488222636541,0.0098570170238934,0.0113183733680739,0.0113309783989008,0.0073651303240638,0.0073655609241782,0.0099730707834044,0.0099725975673747
2018-03,2018Q1,7.275191060130854,6.9,6.8,6.9,6.85,0.42519106013085395,1.0,0.42519106013085395,0.0054462486730102455,0.0,0.0070656318225026,0.0070660982238954,0.0068192334241048,0.0068201607262656,0.0109395059925121,0.0109560173869385,0.012443230050648,0.0124607560116762,0.0086155923663955,0.0086151069904085,0.0079541717266591,0.0079547889190185
2018-04,2018Q2,7.367642888438959,6.9,6.9,6.8,6.85,0.5176428884389592,1.0,0.5176428884389592,0.09245182830810528,0.0,0.0149735760422782,0.0149734060037629,0.0129524227192905,0.012952888669661,0.0188995475132878,0.0189294814171232,0.0204425606569653,0.0204862988005014,0.016536175647134,0.0165361517097606,0.0151375976249912,0.015137814516926
2018-05,2018Q2,6.990149974318663,6.9,6.9,6.8,6.85,0.14014997431866316,1.0,0.14014997431866316,-0.37749291412029606,0.0,-0.0060476170484228,-0.0060470897097868,-0.0054464963201237,-0.005445680551221,-0.0014154156693203,-0.0014173127814038,-0.0022821487919233,-0.0022898370355842,-0.0069724972115789,-0.0069719436580647,-0.0053183105013477,-0.0053184700207993
2018-06,2018Q2,7.01881044096572,6.9,6.9,6.8,6.85,0.1688104409657205,1.0,0.1688104409657205,0.028660466647057348,0.0,0.002439962189348,0.0024393444248942,0.0019265873740623,0.0019260487518752,0.0066980832788936,0.0067152484948673,0.0104025354015251,0.0104268224924153,0.0061200639983833,0.0061194492398533,0.0043740272966557,0.0043740985321343
