sample,quarter_month_order,n_obs,MAE,RMSE,R2,Pearson_corr,Spearman_corr
全部月份（剔除疫情季度）,all,96.0,0.8195046704577411,1.6078232722849348,-0.7891870140982624,0.7153359416696241,0.7853788066009615
季度第一个月（剔除疫情季度）,1,32.0,1.1598832038888427,2.1922184869340966,-2.3261879663151257,0.6783255819606351,0.7198830701219312
季度第二个月（剔除疫情季度）,2,32.0,0.7828706742452791,1.466857945756966,-0.48920755827773466,0.7378845067563509,0.7675939032169355
季度第三个月（剔除疫情季度）,3,32.0,0.5157601332391021,0.8931925308785015,0.44783448229807354,0.8303622636284634,0.8595290085269247
